stage_history_id,opp_id,stage,entered_at,exited_at,days_in_stage
36,1,Prospecting,2024-10-26T00:00:00,2024-11-09T00:00:00,14
37,1,Discovery,2024-11-09T00:00:00,2024-11-26T00:00:00,17
38,1,Qualification,2024-11-26T00:00:00,,
39,12,Prospecting,2023-11-27T00:00:00,,
40,1,Prospecting,2023-06-15T00:00:00,2023-06-23T00:00:00,8
41,1,Discovery,2023-06-23T00:00:00,2023-07-14T00:00:00,21
42,1,Qualification,2023-07-14T00:00:00,2023-08-05T00:00:00,22
43,1,Proposal,2023-08-05T00:00:00,2023-08-08T00:00:00,3
44,1,Negotiation,2023-08-08T00:00:00,,
45,14,Prospecting,2021-09-29T00:00:00,2021-10-15T00:00:00,16
46,14,Discovery,2021-10-15T00:00:00,2021-10-26T00:00:00,11
47,14,Qualification,2021-10-26T00:00:00,2021-11-14T00:00:00,19
48,14,Proposal,2021-11-14T00:00:00,,
49,15,Prospecting,2021-02-16T00:00:00,,
50,16,Prospecting,2024-08-06T00:00:00,2024-08-20T00:00:00,14
51,16,Discovery,2024-08-20T00:00:00,2024-09-24T00:00:00,35
52,16,Qualification,2024-09-24T00:00:00,2024-10-31T00:00:00,37
53,16,Proposal,2024-10-31T00:00:00,2024-11-19T00:00:00,19
54,16,Negotiation,2024-11-19T00:00:00,2024-12-04T00:00:00,15
55,16,Closed Won,2024-12-04T00:00:00,2024-12-04T00:00:00,0
56,17,Prospecting,2024-12-21T00:00:00,2024-12-22T00:00:00,1
57,17,Discovery,2024-12-22T00:00:00,2024-12-23T00:00:00,1
58,17,Qualification,2024-12-23T00:00:00,2024-12-24T00:00:00,1
59,17,Proposal,2024-12-24T00:00:00,2024-12-25T00:00:00,1
60,17,Negotiation,2024-12-25T00:00:00,2024-12-26T00:00:00,1
61,17,Closed Won,2024-12-26T00:00:00,2024-12-27T00:00:00,1
62,17,Closed Lost,2024-12-27T00:00:00,2024-12-27T00:00:00,0
63,18,Prospecting,2023-07-29T00:00:00,,
64,19,Prospecting,2024-10-28T00:00:00,,
65,20,Prospecting,2022-03-21T00:00:00,2022-04-02T00:00:00,12
66,20,Discovery,2022-04-02T00:00:00,2022-04-24T00:00:00,22
67,20,Qualification,2022-04-24T00:00:00,2022-05-19T00:00:00,25
68,20,Proposal,2022-05-19T00:00:00,2022-05-25T00:00:00,6
69,20,Negotiation,2022-05-25T00:00:00,2022-06-24T00:00:00,30
70,20,Closed Won,2022-06-24T00:00:00,2022-06-30T00:00:00,6
71,20,Closed Lost,2022-06-30T00:00:00,2022-06-30T00:00:00,0
72,21,Prospecting,2021-06-11T00:00:00,2021-07-10T00:00:00,29
73,21,Discovery,2021-07-10T00:00:00,2021-08-10T00:00:00,31
74,21,Qualification,2021-08-10T00:00:00,2021-08-25T00:00:00,15
75,21,Proposal,2021-08-25T00:00:00,2021-09-02T00:00:00,8
76,21,Negotiation,2021-09-02T00:00:00,2021-10-05T00:00:00,33
77,21,Closed Won,2021-10-05T00:00:00,2021-10-05T00:00:00,0
78,22,Prospecting,2023-10-08T00:00:00,2023-10-31T00:00:00,23
79,22,Discovery,2023-10-31T00:00:00,2023-12-28T00:00:00,58
80,22,Qualification,2023-12-28T00:00:00,2024-01-30T00:00:00,33
81,22,Proposal,2024-01-30T00:00:00,2024-02-23T00:00:00,24
82,22,Negotiation,2024-02-23T00:00:00,2024-04-26T00:00:00,63
83,22,Closed Won,2024-04-26T00:00:00,2024-06-15T00:00:00,50
84,22,Closed Lost,2024-06-15T00:00:00,2024-06-15T00:00:00,0
85,23,Prospecting,2024-06-16T00:00:00,2024-07-07T00:00:00,21
86,23,Discovery,2024-07-07T00:00:00,2024-07-22T00:00:00,15
87,23,Qualification,2024-07-22T00:00:00,,
88,24,Prospecting,2024-11-04T00:00:00,2024-11-17T00:00:00,13
89,24,Discovery,2024-11-17T00:00:00,2024-11-23T00:00:00,6
90,24,Qualification,2024-11-23T00:00:00,2024-12-14T00:00:00,21
91,24,Proposal,2024-12-14T00:00:00,,
92,25,Prospecting,2023-07-08T00:00:00,2023-07-25T00:00:00,17
93,25,Discovery,2023-07-25T00:00:00,2023-08-01T00:00:00,7
94,25,Qualification,2023-08-01T00:00:00,,
95,26,Prospecting,2024-10-23T00:00:00,2024-10-31T00:00:00,8
96,26,Discovery,2024-10-31T00:00:00,,
97,27,Prospecting,2024-11-11T00:00:00,2024-12-03T00:00:00,22
98,27,Discovery,2024-12-03T00:00:00,2024-12-16T00:00:00,13
99,27,Qualification,2024-12-16T00:00:00,,
100,28,Prospecting,2024-12-25T00:00:00,2024-12-26T00:00:00,1
101,28,Discovery,2024-12-26T00:00:00,2024-12-27T00:00:00,1
102,28,Qualification,2024-12-27T00:00:00,2024-12-28T00:00:00,1
103,28,Proposal,2024-12-28T00:00:00,2024-12-29T00:00:00,1
104,28,Negotiation,2024-12-29T00:00:00,2024-12-30T00:00:00,1
105,28,Closed Won,2024-12-30T00:00:00,2024-12-30T00:00:00,0
106,29,Prospecting,2023-11-15T00:00:00,2023-11-28T00:00:00,13
107,29,Discovery,2023-11-28T00:00:00,2023-12-19T00:00:00,21
108,29,Qualification,2023-12-19T00:00:00,2023-12-26T00:00:00,7
109,29,Proposal,2023-12-26T00:00:00,,
110,30,Prospecting,2023-11-07T00:00:00,2023-11-12T00:00:00,5
111,30,Discovery,2023-11-12T00:00:00,2023-11-19T00:00:00,7
112,30,Qualification,2023-11-19T00:00:00,2023-11-23T00:00:00,4
113,30,Proposal,2023-11-23T00:00:00,2023-11-26T00:00:00,3
114,30,Negotiation,2023-11-26T00:00:00,2023-12-06T00:00:00,10
115,30,Closed Won,2023-12-06T00:00:00,2023-12-16T00:00:00,10
116,30,Closed Lost,2023-12-16T00:00:00,2023-12-16T00:00:00,0
117,31,Prospecting,2022-06-15T00:00:00,2022-06-26T00:00:00,11
118,31,Discovery,2022-06-26T00:00:00,2022-07-27T00:00:00,31
119,31,Qualification,2022-07-27T00:00:00,2022-08-14T00:00:00,18
120,31,Proposal,2022-08-14T00:00:00,2022-08-30T00:00:00,16
121,31,Negotiation,2022-08-30T00:00:00,2022-09-12T00:00:00,13
122,31,Closed Won,2022-09-12T00:00:00,2022-10-06T00:00:00,24
123,31,Closed Lost,2022-10-06T00:00:00,2022-10-06T00:00:00,0
124,32,Prospecting,2024-02-09T00:00:00,2024-02-20T00:00:00,11
125,32,Discovery,2024-02-20T00:00:00,2024-04-03T00:00:00,43
126,32,Qualification,2024-04-03T00:00:00,2024-04-24T00:00:00,21
127,32,Proposal,2024-04-24T00:00:00,2024-05-04T00:00:00,10
128,32,Negotiation,2024-05-04T00:00:00,2024-05-19T00:00:00,15
129,32,Closed Won,2024-05-19T00:00:00,2024-06-11T00:00:00,23
130,32,Closed Lost,2024-06-11T00:00:00,2024-06-11T00:00:00,0
131,33,Prospecting,2024-07-31T00:00:00,2024-08-16T00:00:00,16
132,33,Discovery,2024-08-16T00:00:00,2024-09-15T00:00:00,30
133,33,Qualification,2024-09-15T00:00:00,2024-09-30T00:00:00,15
134,33,Proposal,2024-09-30T00:00:00,2024-10-27T00:00:00,27
135,33,Negotiation,2024-10-27T00:00:00,2024-12-18T00:00:00,52
136,33,Closed Won,2024-12-18T00:00:00,2024-12-18T00:00:00,0
137,34,Prospecting,2023-02-28T00:00:00,2023-03-20T00:00:00,20
138,34,Discovery,2023-03-20T00:00:00,2023-03-26T00:00:00,6
139,34,Qualification,2023-03-26T00:00:00,,
140,35,Prospecting,2024-01-10T00:00:00,2024-01-22T00:00:00,12
141,35,Discovery,2024-01-22T00:00:00,2024-03-03T00:00:00,41
142,35,Qualification,2024-03-03T00:00:00,2024-04-03T00:00:00,31
143,35,Proposal,2024-04-03T00:00:00,2024-04-22T00:00:00,19
144,35,Negotiation,2024-04-22T00:00:00,2024-05-11T00:00:00,19
145,35,Closed Won,2024-05-11T00:00:00,2024-06-09T00:00:00,29
146,35,Closed Lost,2024-06-09T00:00:00,2024-06-09T00:00:00,0
147,36,Prospecting,2023-09-26T00:00:00,2023-10-09T00:00:00,13
148,36,Discovery,2023-10-09T00:00:00,2023-10-27T00:00:00,18
149,36,Qualification,2023-10-27T00:00:00,2023-11-11T00:00:00,15
150,36,Proposal,2023-11-11T00:00:00,,
151,37,Prospecting,2023-01-22T00:00:00,2023-02-07T00:00:00,16
152,37,Discovery,2023-02-07T00:00:00,2023-03-01T00:00:00,22
153,37,Qualification,2023-03-01T00:00:00,,
154,38,Prospecting,2024-07-23T00:00:00,2024-08-08T00:00:00,16
155,38,Discovery,2024-08-08T00:00:00,2024-08-21T00:00:00,13
156,38,Qualification,2024-08-21T00:00:00,,
157,1,Prospecting,2024-12-14T00:00:00,,
158,40,Prospecting,2022-12-23T00:00:00,2023-01-29T00:00:00,37
159,40,Discovery,2023-01-29T00:00:00,2023-03-22T00:00:00,52
160,40,Qualification,2023-03-22T00:00:00,2023-04-30T00:00:00,39
161,40,Proposal,2023-04-30T00:00:00,2023-05-08T00:00:00,8
162,40,Negotiation,2023-05-08T00:00:00,2023-07-03T00:00:00,56
163,40,Closed Won,2023-07-03T00:00:00,2023-07-22T00:00:00,19
164,40,Closed Lost,2023-07-22T00:00:00,2023-07-22T00:00:00,0
165,41,Prospecting,2023-06-26T00:00:00,,
166,42,Prospecting,2024-12-24T00:00:00,2024-12-25T00:00:00,1
167,42,Discovery,2024-12-25T00:00:00,2024-12-26T00:00:00,1
168,42,Qualification,2024-12-26T00:00:00,2024-12-27T00:00:00,1
169,42,Proposal,2024-12-27T00:00:00,2024-12-28T00:00:00,1
170,42,Negotiation,2024-12-28T00:00:00,2024-12-30T00:00:00,2
171,42,Closed Won,2024-12-30T00:00:00,2024-12-30T00:00:00,0
172,43,Prospecting,2024-10-30T00:00:00,2024-11-03T00:00:00,4
173,43,Discovery,2024-11-03T00:00:00,,
174,44,Prospecting,2024-11-28T00:00:00,2024-12-07T00:00:00,9
175,44,Discovery,2024-12-07T00:00:00,2024-12-24T00:00:00,17
176,44,Qualification,2024-12-24T00:00:00,,
177,45,Prospecting,2020-04-20T00:00:00,2020-05-01T00:00:00,11
178,45,Discovery,2020-05-01T00:00:00,2020-05-30T00:00:00,29
179,45,Qualification,2020-05-30T00:00:00,2020-06-21T00:00:00,22
180,45,Proposal,2020-06-21T00:00:00,2020-07-27T00:00:00,36
181,45,Negotiation,2020-07-27T00:00:00,2020-08-11T00:00:00,15
182,45,Closed Won,2020-08-11T00:00:00,2020-09-14T00:00:00,34
183,45,Closed Lost,2020-09-14T00:00:00,2020-09-14T00:00:00,0
184,46,Prospecting,2024-11-19T00:00:00,2024-12-02T00:00:00,13
185,46,Discovery,2024-12-02T00:00:00,2024-12-19T00:00:00,17
186,46,Qualification,2024-12-19T00:00:00,2025-01-03T00:00:00,15
187,46,Proposal,2025-01-03T00:00:00,,
188,47,Prospecting,2022-07-05T00:00:00,,
189,48,Prospecting,2024-02-01T00:00:00,2024-02-19T00:00:00,18
190,48,Discovery,2024-02-19T00:00:00,,
191,49,Prospecting,2024-05-15T00:00:00,2024-05-19T00:00:00,4
192,49,Discovery,2024-05-19T00:00:00,2024-05-31T00:00:00,12
193,49,Qualification,2024-05-31T00:00:00,2024-06-11T00:00:00,11
194,49,Proposal,2024-06-11T00:00:00,2024-06-14T00:00:00,3
195,49,Negotiation,2024-06-14T00:00:00,2024-06-25T00:00:00,11
196,49,Closed Won,2024-06-25T00:00:00,2024-06-28T00:00:00,3
197,49,Closed Lost,2024-06-28T00:00:00,2024-06-28T00:00:00,0
198,50,Prospecting,2024-05-18T00:00:00,2024-05-30T00:00:00,12
199,50,Discovery,2024-05-30T00:00:00,2024-06-13T00:00:00,14
200,50,Qualification,2024-06-13T00:00:00,,
201,51,Prospecting,2023-07-05T00:00:00,2023-07-13T00:00:00,8
202,51,Discovery,2023-07-13T00:00:00,2023-07-18T00:00:00,5
203,51,Qualification,2023-07-18T00:00:00,2023-07-29T00:00:00,11
204,51,Proposal,2023-07-29T00:00:00,2023-08-02T00:00:00,4
205,51,Negotiation,2023-08-02T00:00:00,2023-08-17T00:00:00,15
206,51,Closed Won,2023-08-17T00:00:00,2023-08-27T00:00:00,10
207,51,Closed Lost,2023-08-27T00:00:00,2023-08-27T00:00:00,0
208,52,Prospecting,2023-01-17T00:00:00,2023-02-05T00:00:00,19
209,52,Discovery,2023-02-05T00:00:00,2023-02-25T00:00:00,20
210,52,Qualification,2023-02-25T00:00:00,,
211,53,Prospecting,2024-01-02T00:00:00,2024-01-08T00:00:00,6
212,53,Discovery,2024-01-08T00:00:00,2024-01-22T00:00:00,14
213,53,Qualification,2024-01-22T00:00:00,2024-02-15T00:00:00,24
214,53,Proposal,2024-02-15T00:00:00,,
215,54,Prospecting,2021-09-08T00:00:00,2021-09-24T00:00:00,16
216,54,Discovery,2021-09-24T00:00:00,2021-10-16T00:00:00,22
217,54,Qualification,2021-10-16T00:00:00,2021-10-23T00:00:00,7
218,54,Proposal,2021-10-23T00:00:00,2021-10-28T00:00:00,5
219,54,Negotiation,2021-10-28T00:00:00,,
220,55,Prospecting,2024-07-10T00:00:00,,
221,56,Prospecting,2024-06-26T00:00:00,2024-07-04T00:00:00,8
222,56,Discovery,2024-07-04T00:00:00,,
223,57,Prospecting,2024-12-07T00:00:00,2024-12-10T00:00:00,3
224,57,Discovery,2024-12-10T00:00:00,,
225,58,Prospecting,2023-01-15T00:00:00,2023-01-22T00:00:00,7
226,58,Discovery,2023-01-22T00:00:00,,
227,59,Prospecting,2023-02-18T00:00:00,2023-03-03T00:00:00,13
228,59,Discovery,2023-03-03T00:00:00,2023-03-18T00:00:00,15
229,59,Qualification,2023-03-18T00:00:00,2023-04-04T00:00:00,17
230,59,Proposal,2023-04-04T00:00:00,2023-04-29T00:00:00,25
231,59,Negotiation,2023-04-29T00:00:00,2023-06-13T00:00:00,45
232,59,Closed Won,2023-06-13T00:00:00,2023-06-13T00:00:00,0
233,60,Prospecting,2023-03-16T00:00:00,2023-04-07T00:00:00,22
234,60,Discovery,2023-04-07T00:00:00,2023-04-19T00:00:00,12
235,60,Qualification,2023-04-19T00:00:00,,
236,61,Prospecting,2024-01-18T00:00:00,2024-02-07T00:00:00,20
237,61,Discovery,2024-02-07T00:00:00,2024-02-21T00:00:00,14
238,61,Qualification,2024-02-21T00:00:00,,
239,62,Prospecting,2024-09-13T00:00:00,2024-09-25T00:00:00,12
240,62,Discovery,2024-09-25T00:00:00,,
241,63,Prospecting,2023-12-26T00:00:00,2024-01-01T00:00:00,6
242,63,Discovery,2024-01-01T00:00:00,,
243,64,Prospecting,2022-08-02T00:00:00,2022-08-15T00:00:00,13
244,64,Discovery,2022-08-15T00:00:00,,
245,65,Prospecting,2024-11-06T00:00:00,2024-11-10T00:00:00,4
246,65,Discovery,2024-11-10T00:00:00,2024-12-02T00:00:00,22
247,65,Qualification,2024-12-02T00:00:00,2024-12-16T00:00:00,14
248,65,Proposal,2024-12-16T00:00:00,,
249,66,Prospecting,2023-05-18T00:00:00,2023-06-15T00:00:00,28
250,66,Discovery,2023-06-15T00:00:00,2023-07-22T00:00:00,37
251,66,Qualification,2023-07-22T00:00:00,2023-08-15T00:00:00,24
252,66,Proposal,2023-08-15T00:00:00,2023-09-02T00:00:00,18
253,66,Negotiation,2023-09-02T00:00:00,2023-09-25T00:00:00,23
254,66,Closed Won,2023-09-25T00:00:00,2023-09-25T00:00:00,0
255,67,Prospecting,2023-08-11T00:00:00,,
256,68,Prospecting,2022-05-21T00:00:00,2022-06-10T00:00:00,20
257,68,Discovery,2022-06-10T00:00:00,,
258,69,Prospecting,2022-12-03T00:00:00,2022-12-11T00:00:00,8
259,69,Discovery,2022-12-11T00:00:00,2023-01-02T00:00:00,22
260,69,Qualification,2023-01-02T00:00:00,2023-01-24T00:00:00,22
261,69,Proposal,2023-01-24T00:00:00,2023-02-04T00:00:00,11
262,69,Negotiation,2023-02-04T00:00:00,2023-02-28T00:00:00,24
263,69,Closed Won,2023-02-28T00:00:00,2023-03-13T00:00:00,13
264,69,Closed Lost,2023-03-13T00:00:00,2023-03-13T00:00:00,0
265,70,Prospecting,2023-09-12T00:00:00,,
266,71,Prospecting,2023-03-12T00:00:00,2023-03-26T00:00:00,14
267,71,Discovery,2023-03-26T00:00:00,2023-04-05T00:00:00,10
268,71,Qualification,2023-04-05T00:00:00,2023-04-20T00:00:00,15
269,71,Proposal,2023-04-20T00:00:00,2023-05-02T00:00:00,12
270,71,Negotiation,2023-05-02T00:00:00,2023-05-10T00:00:00,8
271,71,Closed Won,2023-05-10T00:00:00,2023-05-10T00:00:00,0
272,72,Prospecting,2024-06-07T00:00:00,2024-06-27T00:00:00,20
273,72,Discovery,2024-06-27T00:00:00,2024-07-23T00:00:00,26
274,72,Qualification,2024-07-23T00:00:00,2024-08-14T00:00:00,22
275,72,Proposal,2024-08-14T00:00:00,2024-08-26T00:00:00,12
276,72,Negotiation,2024-08-26T00:00:00,2024-09-14T00:00:00,19
277,72,Closed Won,2024-09-14T00:00:00,2024-09-25T00:00:00,11
278,72,Closed Lost,2024-09-25T00:00:00,2024-09-25T00:00:00,0
279,73,Prospecting,2024-12-24T00:00:00,2024-12-25T00:00:00,1
280,73,Discovery,2024-12-25T00:00:00,2024-12-26T00:00:00,1
281,73,Qualification,2024-12-26T00:00:00,2024-12-27T00:00:00,1
282,73,Proposal,2024-12-27T00:00:00,2024-12-28T00:00:00,1
283,73,Negotiation,2024-12-28T00:00:00,2024-12-29T00:00:00,1
284,73,Closed Won,2024-12-29T00:00:00,2024-12-29T00:00:00,0
285,74,Prospecting,2024-09-19T00:00:00,2024-10-06T00:00:00,17
286,74,Discovery,2024-10-06T00:00:00,2024-10-21T00:00:00,15
287,74,Qualification,2024-10-21T00:00:00,2024-11-13T00:00:00,23
288,74,Proposal,2024-11-13T00:00:00,2024-12-06T00:00:00,23
289,74,Negotiation,2024-12-06T00:00:00,2024-12-27T00:00:00,21
290,74,Closed Won,2024-12-27T00:00:00,2024-12-27T00:00:00,0
291,75,Prospecting,2024-06-21T00:00:00,2024-07-05T00:00:00,14
292,75,Discovery,2024-07-05T00:00:00,2024-07-22T00:00:00,17
293,75,Qualification,2024-07-22T00:00:00,,
294,76,Prospecting,2022-05-09T00:00:00,2022-06-02T00:00:00,24
295,76,Discovery,2022-06-02T00:00:00,2022-06-14T00:00:00,12
296,76,Qualification,2022-06-14T00:00:00,,
297,77,Prospecting,2023-12-23T00:00:00,2023-12-26T00:00:00,3
298,77,Discovery,2023-12-26T00:00:00,2024-01-05T00:00:00,10
299,77,Qualification,2024-01-05T00:00:00,2024-01-11T00:00:00,6
300,77,Proposal,2024-01-11T00:00:00,2024-01-18T00:00:00,7
301,77,Negotiation,2024-01-18T00:00:00,2024-02-04T00:00:00,17
302,77,Closed Won,2024-02-04T00:00:00,2024-02-13T00:00:00,9
303,77,Closed Lost,2024-02-13T00:00:00,2024-02-13T00:00:00,0
304,78,Prospecting,2023-07-24T00:00:00,2023-08-06T00:00:00,13
305,78,Discovery,2023-08-06T00:00:00,2023-08-24T00:00:00,18
306,78,Qualification,2023-08-24T00:00:00,,
307,79,Prospecting,2023-04-02T00:00:00,2023-04-16T00:00:00,14
308,79,Discovery,2023-04-16T00:00:00,2023-04-29T00:00:00,13
309,79,Qualification,2023-04-29T00:00:00,,
310,80,Prospecting,2024-11-06T00:00:00,2024-11-13T00:00:00,7
311,80,Discovery,2024-11-13T00:00:00,2024-11-27T00:00:00,14
312,80,Qualification,2024-11-27T00:00:00,2024-12-13T00:00:00,16
313,80,Proposal,2024-12-13T00:00:00,,
314,81,Prospecting,2020-12-11T00:00:00,2021-01-12T00:00:00,32
315,81,Discovery,2021-01-12T00:00:00,2021-03-05T00:00:00,52
316,81,Qualification,2021-03-05T00:00:00,2021-04-04T00:00:00,30
317,81,Proposal,2021-04-04T00:00:00,2021-04-27T00:00:00,23
318,81,Negotiation,2021-04-27T00:00:00,2021-05-17T00:00:00,20
319,81,Closed Won,2021-05-17T00:00:00,2021-06-19T00:00:00,33
320,81,Closed Lost,2021-06-19T00:00:00,2021-06-19T00:00:00,0
321,82,Prospecting,2024-10-03T00:00:00,2024-10-14T00:00:00,11
322,82,Discovery,2024-10-14T00:00:00,2024-10-23T00:00:00,9
323,82,Qualification,2024-10-23T00:00:00,2024-11-09T00:00:00,17
324,82,Proposal,2024-11-09T00:00:00,,
325,83,Prospecting,2024-06-08T00:00:00,2024-06-28T00:00:00,20
326,83,Discovery,2024-06-28T00:00:00,2024-07-04T00:00:00,6
327,83,Qualification,2024-07-04T00:00:00,2024-07-23T00:00:00,19
328,83,Proposal,2024-07-23T00:00:00,2024-08-05T00:00:00,13
329,83,Negotiation,2024-08-05T00:00:00,,
330,84,Prospecting,2024-10-26T00:00:00,2024-11-14T00:00:00,19
331,84,Discovery,2024-11-14T00:00:00,,
332,85,Prospecting,2024-10-28T00:00:00,2024-11-11T00:00:00,14
333,85,Discovery,2024-11-11T00:00:00,2024-11-19T00:00:00,8
334,85,Qualification,2024-11-19T00:00:00,2024-11-23T00:00:00,4
335,85,Proposal,2024-11-23T00:00:00,2024-12-05T00:00:00,12
336,85,Negotiation,2024-12-05T00:00:00,2024-12-14T00:00:00,9
337,85,Closed Won,2024-12-14T00:00:00,2024-12-22T00:00:00,8
338,85,Closed Lost,2024-12-22T00:00:00,2024-12-22T00:00:00,0
339,86,Prospecting,2023-08-14T00:00:00,,
340,87,Prospecting,2024-01-04T00:00:00,2024-01-20T00:00:00,16
341,87,Discovery,2024-01-20T00:00:00,,
342,88,Prospecting,2024-03-25T00:00:00,2024-03-30T00:00:00,5
343,88,Discovery,2024-03-30T00:00:00,2024-04-24T00:00:00,25
344,88,Qualification,2024-04-24T00:00:00,2024-05-08T00:00:00,14
345,88,Proposal,2024-05-08T00:00:00,2024-05-17T00:00:00,9
346,88,Negotiation,2024-05-17T00:00:00,,
347,89,Prospecting,2023-10-25T00:00:00,2023-10-31T00:00:00,6
348,89,Discovery,2023-10-31T00:00:00,2023-11-23T00:00:00,23
349,89,Qualification,2023-11-23T00:00:00,,
350,90,Prospecting,2024-10-21T00:00:00,2024-10-31T00:00:00,10
351,90,Discovery,2024-10-31T00:00:00,2024-11-16T00:00:00,16
352,90,Qualification,2024-11-16T00:00:00,2024-12-02T00:00:00,16
353,90,Proposal,2024-12-02T00:00:00,2024-12-05T00:00:00,3
354,90,Negotiation,2024-12-05T00:00:00,2024-12-16T00:00:00,11
355,90,Closed Won,2024-12-16T00:00:00,2024-12-27T00:00:00,11
356,90,Closed Lost,2024-12-27T00:00:00,2024-12-27T00:00:00,0
357,91,Prospecting,2024-03-13T00:00:00,,
358,92,Prospecting,2021-07-20T00:00:00,2021-08-04T00:00:00,15
359,92,Discovery,2021-08-04T00:00:00,2021-08-31T00:00:00,27
360,92,Qualification,2021-08-31T00:00:00,2021-09-26T00:00:00,26
361,92,Proposal,2021-09-26T00:00:00,2021-10-05T00:00:00,9
362,92,Negotiation,2021-10-05T00:00:00,2021-10-22T00:00:00,17
363,92,Closed Won,2021-10-22T00:00:00,2021-10-30T00:00:00,8
364,92,Closed Lost,2021-10-30T00:00:00,2021-10-30T00:00:00,0
365,93,Prospecting,2024-08-20T00:00:00,2024-09-07T00:00:00,18
366,93,Discovery,2024-09-07T00:00:00,2024-09-29T00:00:00,22
367,93,Qualification,2024-09-29T00:00:00,2024-10-09T00:00:00,10
368,93,Proposal,2024-10-09T00:00:00,,
369,94,Prospecting,2024-12-13T00:00:00,,
370,95,Prospecting,2024-07-09T00:00:00,2024-07-18T00:00:00,9
371,95,Discovery,2024-07-18T00:00:00,,
372,96,Prospecting,2023-03-12T00:00:00,2023-03-19T00:00:00,7
373,96,Discovery,2023-03-19T00:00:00,,
374,97,Prospecting,2021-12-14T00:00:00,2021-12-27T00:00:00,13
375,97,Discovery,2021-12-27T00:00:00,,
376,98,Prospecting,2024-03-04T00:00:00,,
377,99,Prospecting,2024-05-07T00:00:00,2024-05-28T00:00:00,21
378,99,Discovery,2024-05-28T00:00:00,2024-06-09T00:00:00,12
379,99,Qualification,2024-06-09T00:00:00,2024-06-22T00:00:00,13
380,99,Proposal,2024-06-22T00:00:00,,
381,100,Prospecting,2024-11-16T00:00:00,2024-12-01T00:00:00,15
382,100,Discovery,2024-12-01T00:00:00,2024-12-11T00:00:00,10
383,100,Qualification,2024-12-11T00:00:00,2024-12-26T00:00:00,15
384,100,Proposal,2024-12-26T00:00:00,,
385,101,Prospecting,2020-09-18T00:00:00,2020-10-01T00:00:00,13
386,101,Discovery,2020-10-01T00:00:00,2020-10-14T00:00:00,13
387,101,Qualification,2020-10-14T00:00:00,2020-10-20T00:00:00,6
388,101,Proposal,2020-10-20T00:00:00,2020-11-01T00:00:00,12
389,101,Negotiation,2020-11-01T00:00:00,,
390,102,Prospecting,2024-11-01T00:00:00,2024-11-16T00:00:00,15
391,102,Discovery,2024-11-16T00:00:00,,
392,103,Prospecting,2022-07-29T00:00:00,2022-08-16T00:00:00,18
393,103,Discovery,2022-08-16T00:00:00,,
394,104,Prospecting,2023-12-25T00:00:00,,
395,105,Prospecting,2024-10-02T00:00:00,,
396,106,Prospecting,2024-09-05T00:00:00,2024-09-15T00:00:00,10
397,106,Discovery,2024-09-15T00:00:00,2024-09-30T00:00:00,15
