tracker_id,call_id,tracker_name,tracker_category,mention_count
83,44,Security - Penetration Testing,Security,4
84,44,Contract Review Started,Buying Signal,2
85,44,Objection - Team Adoption Concern,Objection,8
86,44,Budget - Approved,Budget,1
87,45,Competitor - Open Source Alternative,Competitor,2
88,45,Security - GDPR Compliance,Security,6
89,45,Competitor - CompetitorD,Competitor,7
90,45,Budget - Needs Approval,Budget,3
91,45,Security - SOC2 Compliance,Security,3
92,45,Technical - Data Migration Plan,Technical,8
93,45,Next Steps Discussed,Buying Signal,-3
94,45,Budget - Freeze Mentioned,Budget,3
95,46,Objection - Team Adoption Concern,Objection,7
96,46,Pricing - Too Expensive Objection,Pricing,2
97,47,Discount - Multi-Year Ask,Discount,1
98,47,Security - Penetration Testing,Security,1
99,47,Risk - Legal Blockers,Risk,8
100,47,Decision Maker Involved,Buying Signal,8
101,47,Pricing - Volume Discount,Pricing,8
102,48,Objection - Missing Feature,Objection,7
103,48,Budget - Needs Approval,Budget,4
104,48,,,1
105,48,Technical - Custom Workflow Needs,Technical,4
106,50,Technical - SSO / SAML Setup,Technical,2
107,50,Security - Penetration Testing,Security,2
108,50,Budget - Reallocating Funds,Budget,1
109,51,Competitor - Open Source Alternative,Competitor,3
110,51,Technical - Performance Requirements,Technical,5
111,51,Contract Review Started,Buying Signal,8
112,51,Budget - Reallocating Funds,Budget,8
113,52,Budget - Reallocating Funds,Budget,-1
114,52,Budget - Approved,Budget,5
115,53,Risk - Budget Freeze,Risk,6
116,53,Technical - Performance Requirements,Technical,2
117,53,Discount - Competitive Match,Discount,3
118,53,Risk - Competitor Evaluation,Risk,6
119,53,Security - GDPR Compliance,Security,1
120,55,Risk - Champion Leaving,Risk,2
121,55,Competitor - CompetitorB,Competitor,7
122,55,Budget - Approved,Budget,6
123,55,Technical - Custom Workflow Needs,Technical,8
124,55,Discount - Multi-Year Ask,Discount,2
125,56,POC Requested,Buying Signal,8
126,56,Competitor - CompetitorE,Competitor,1
127,56,Technical - Performance Requirements,Technical,1
128,56,Technical - SSO / SAML Setup,Technical,8
129,60,Risk - Stakeholder Pushback,Risk,4
130,60,,,1
131,60,Competitor - CompetitorE,Competitor,2
132,60,Competitor - Open Source Alternative,Competitor,4
133,64,Decision Timeline Confirmed,Buying Signal,3
134,64,Objection - Missing Feature,Objection,6
135,64,Discount - Multi-Year Ask,Discount,5
136,64,Risk - Competitor Evaluation,Risk,2
137,65,Budget - Freeze Mentioned,Budget,5
138,65,Reference Call Requested,Buying Signal,1
139,66,Risk - Legal Blockers,Risk,1
140,66,Decision Maker Involved,Buying Signal,5
141,68,Technical - Custom Workflow Needs,Technical,4
142,68,Objection - Need More Stakeholder Buy-in,Objection,5
143,68,Objection - Too Complex,Objection,2
144,68,Competitor - CompetitorB,Competitor,6
145,68,Risk - Stakeholder Pushback,Risk,5
146,69,Discount - Multi-Year Ask,Discount,2
147,69,Reference Call Requested,Buying Signal,7
148,69,Technical - Custom Workflow Needs,Technical,6
149,69,Budget - Needs Approval,Budget,8
150,69,Contract Review Started,Buying Signal,3
151,71,Budget - Reallocating Funds,Budget,1
152,71,Competitor - CompetitorA,Competitor,5
153,71,Pricing - Requested Quote,Pricing,8
154,71,Budget - Approved,Budget,8
155,71,Objection - Need More Stakeholder Buy-in,Objection,6
156,72,Technical - Custom Workflow Needs,Technical,6
157,72,Pricing - Requested Quote,Pricing,4
158,72,Competitor - CompetitorD,Competitor,5
159,77,Discount - End of Quarter,Discount,4
160,77,Procurement Process Started,Buying Signal,2
161,77,Pricing - Too Expensive Objection,Pricing,8
162,77,Risk - Budget Freeze,Risk,8
163,77,Budget - Approved,Budget,2
164,79,Risk - Stakeholder Pushback,Risk,6
165,79,Procurement Process Started,Buying Signal,5
166,79,Discount - Competitive Match,Discount,5
167,79,Competitor - CompetitorC,Competitor,3
168,80,Competitor - CompetitorC,Competitor,6
169,80,Pricing - Compared to Competitor,Pricing,7
170,80,Pricing - Enterprise Tier,Pricing,2
171,80,Technical - Custom Workflow Needs,Technical,4
172,80,Reference Call Requested,Buying Signal,5
173,81,Security - GDPR Compliance,Security,6
174,81,Security - Data Residency,Security,1
175,81,Technical - API Integration,Technical,6
176,81,Technical - Custom Workflow Needs,Technical,7
177,81,Next Steps Discussed,Buying Signal,4
178,81,Pricing - Enterprise Tier,Pricing,2
179,82,Decision Maker Involved,Buying Signal,6
180,82,Next Steps Discussed,Buying Signal,3
181,85,Competitor - CompetitorA,Competitor,3
182,86,Pricing - Enterprise Tier,Pricing,3
183,86,Pricing - Requested Quote,Pricing,6
184,86,Pricing - Compared to Competitor,Pricing,1
185,86,Budget - Reallocating Funds,Budget,8
186,86,Risk - Legal Blockers,Risk,4
187,86,Discount - Multi-Year Ask,Discount,4
188,87,Competitor - Open Source Alternative,Competitor,2
189,87,Objection - Switching Cost,Objection,5
190,87,Competitor - CompetitorC,Competitor,3
191,87,Competitor - CompetitorB,Competitor,8
192,90,Competitor - Open Source Alternative,Competitor,5
193,92,Risk - Legal Blockers,Risk,3
194,92,Budget - Approved,Budget,7
195,92,Pricing - Volume Discount,Pricing,7
196,93,Discount - Multi-Year Ask,Discount,8
197,93,Objection - Team Adoption Concern,Objection,3
198,93,Pricing - Enterprise Tier,Pricing,6
199,94,Risk - Budget Freeze,Risk,-7
200,94,Budget - Needs Approval,Budget,1
201,96,Budget - Freeze Mentioned,Budget,1
202,96,Discount - Multi-Year Ask,Discount,3
203,96,Next Steps Discussed,Buying Signal,6
204,96,Budget - Approved,Budget,5
205,97,Security - Penetration Testing,Security,-3
206,97,Competitor - CompetitorE,Competitor,8
207,97,Competitor - Open Source Alternative,Competitor,6
208,98,Next Steps Discussed,Buying Signal,3
209,98,Discount - Multi-Year Ask,Discount,4
210,98,Budget - Needs Approval,Budget,6
211,98,Pricing - Compared to Competitor,Pricing,-4
212,99,Discount - Multi-Year Ask,Discount,2
213,100,Competitor - CompetitorB,Competitor,8
214,100,Competitor - CompetitorC,Competitor,1
215,100,Budget - Freeze Mentioned,Budget,7
216,100,Budget - Reallocating Funds,Budget,4
217,101,Security - GDPR Compliance,Security,8
218,101,Pricing - Compared to Competitor,Pricing,2
219,101,Budget - Needs Approval,Budget,2
220,101,,,1
221,101,Discount - Competitive Match,Discount,1
222,103,Pricing - Compared to Competitor,Pricing,6
223,103,Pricing - Volume Discount,Pricing,5
224,103,Competitor - CompetitorE,Competitor,7
225,103,,,3
226,104,,,4
227,105,Competitor - CompetitorD,Competitor,3
228,105,Objection - Too Complex,Objection,7
229,107,Risk - Legal Blockers,Risk,6
230,107,Discount - End of Quarter,Discount,3
231,107,Technical - Data Migration Plan,Technical,1
232,107,Reference Call Requested,Buying Signal,1
233,107,Competitor - CompetitorE,Competitor,8
234,108,Objection - Need More Stakeholder Buy-in,Objection,6
235,108,Next Steps Discussed,Buying Signal,7
236,108,Pricing - Requested Quote,Pricing,6
237,108,Risk - Legal Blockers,Risk,7
238,108,Objection - Too Complex,Objection,8
239,108,Technical - Performance Requirements,Technical,2
240,108,Discount - Competitive Match,Discount,5
241,109,Decision Timeline Confirmed,Buying Signal,1
242,109,Objection - Too Complex,Objection,6
243,109,Budget - Reallocating Funds,Budget,6
244,109,Pricing - Requested Quote,Pricing,7
245,110,Budget - Approved,Budget,2
246,110,Decision Timeline Confirmed,Buying Signal,5
247,110,Pricing - Too Expensive Objection,Pricing,2
248,110,Risk - Champion Leaving,Risk,6
249,112,Pricing - Too Expensive Objection,Pricing,8
250,112,Objection - Switching Cost,Objection,6
251,112,Risk - Stakeholder Pushback,Risk,2
252,113,Objection - Team Adoption Concern,Objection,6
253,113,Pricing - Compared to Competitor,Pricing,3
254,113,Competitor - CompetitorD,Competitor,1
255,114,Objection - Need More Stakeholder Buy-in,Objection,2
256,114,Competitor - CompetitorB,Competitor,5
257,114,Budget - Reallocating Funds,Budget,5
258,114,Discount - Multi-Year Ask,Discount,4
259,114,Security - GDPR Compliance,Security,1
260,114,Risk - Competitor Evaluation,Risk,5
261,115,,,1
262,115,Budget - Needs Approval,Budget,4
263,115,Risk - Legal Blockers,Risk,2
264,115,Procurement Process Started,Buying Signal,2
265,116,Contract Review Started,Buying Signal,6
266,117,POC Requested,Buying Signal,6
267,117,Decision Maker Involved,Buying Signal,5
268,117,Discount - End of Quarter,Discount,2
269,118,Risk - Delayed Timeline,Risk,6
270,122,Contract Review Started,Buying Signal,5
271,122,Decision Maker Involved,Buying Signal,3
272,122,Objection - Need More Stakeholder Buy-in,Objection,7
273,124,Pricing - Enterprise Tier,Pricing,7
274,124,Pricing - Requested Quote,Pricing,5
275,126,Budget - Freeze Mentioned,Budget,7
276,126,Risk - Delayed Timeline,Risk,8
277,127,Risk - Delayed Timeline,Risk,7
278,127,Risk - Competitor Evaluation,Risk,8
279,127,Contract Review Started,Buying Signal,3
280,127,Risk - Budget Freeze,Risk,4
281,127,Competitor - CompetitorB,Competitor,2
282,127,Competitor - CompetitorA,Competitor,1
283,128,Discount - Multi-Year Ask,Discount,5
284,128,Objection - Too Complex,Objection,6
285,128,Pricing - Compared to Competitor,Pricing,2
286,128,Procurement Process Started,Buying Signal,-6
287,128,Objection - Missing Feature,Objection,1
288,129,Competitor - CompetitorC,Competitor,6
289,129,Technical - Custom Workflow Needs,Technical,4
290,129,Risk - Competitor Evaluation,Risk,8
291,131,Pricing - Compared to Competitor,Pricing,8
292,131,Technical - SSO / SAML Setup,Technical,5
293,132,Pricing - Volume Discount,Pricing,4
294,132,Competitor - CompetitorD,Competitor,2
295,132,Risk - Delayed Timeline,Risk,4
296,132,Risk - Legal Blockers,Risk,1
297,132,Reference Call Requested,Buying Signal,1
298,132,Budget - Reallocating Funds,Budget,2
299,133,Technical - SSO / SAML Setup,Technical,5
300,133,Objection - Too Complex,Objection,1
301,133,Competitor - CompetitorC,Competitor,4
302,136,Security - Penetration Testing,Security,3
303,136,Decision Maker Involved,Buying Signal,5
304,136,Contract Review Started,Buying Signal,3
305,136,,,5
306,138,Competitor - CompetitorE,Competitor,8
307,138,Objection - Missing Feature,Objection,2
308,138,Security - Data Residency,Security,3
309,141,Competitor - CompetitorB,Competitor,2
310,143,Budget - Reallocating Funds,Budget,5
311,143,Next Steps Discussed,Buying Signal,1
312,144,Competitor - CompetitorE,Competitor,8
313,145,Pricing - Volume Discount,Pricing,3
314,145,Competitor - CompetitorE,Competitor,3
315,145,Security - Penetration Testing,Security,7
316,145,Discount - Competitive Match,Discount,6
317,145,Objection - Switching Cost,Objection,4
318,146,Next Steps Discussed,Buying Signal,1
319,147,Decision Maker Involved,Buying Signal,3
320,149,Competitor - CompetitorA,Competitor,4
321,149,Objection - Need More Stakeholder Buy-in,Objection,8
322,149,Risk - No Decision Likely,Risk,5
323,151,Objection - Team Adoption Concern,Objection,7
324,151,Objection - Missing Feature,Objection,5
325,151,Competitor - CompetitorA,Competitor,4
326,151,Pricing - Compared to Competitor,Pricing,6
327,152,Budget - Reallocating Funds,Budget,3
328,152,Decision Timeline Confirmed,Buying Signal,3
329,152,Budget - Approved,Budget,7
330,157,Technical - Data Migration Plan,Technical,7
331,158,,,3
332,158,Pricing - Compared to Competitor,Pricing,1
333,158,Risk - Delayed Timeline,Risk,3
334,158,Decision Timeline Confirmed,Buying Signal,1
335,159,Pricing - Volume Discount,Pricing,2
336,159,Competitor - Open Source Alternative,Competitor,4
337,159,Security - Penetration Testing,Security,1
338,159,Budget - Approved,Budget,4
339,159,Pricing - Too Expensive Objection,Pricing,5
340,159,Competitor - CompetitorB,Competitor,2
341,160,Risk - Stakeholder Pushback,Risk,2
342,160,Contract Review Started,Buying Signal,-1
343,160,Security - SSO Requirement,Security,4
344,160,Technical - SSO / SAML Setup,Technical,7
345,160,Competitor - CompetitorB,Competitor,5
346,160,Security - Penetration Testing,Security,3
347,160,Decision Timeline Confirmed,Buying Signal,2
348,160,Competitor - CompetitorE,Competitor,7
349,161,POC Requested,Buying Signal,7
350,161,Risk - Budget Freeze,Risk,6
351,161,Technical - Data Migration Plan,Technical,4
352,161,Competitor - Open Source Alternative,Competitor,1
353,162,Objection - Need More Stakeholder Buy-in,Objection,1
354,162,Objection - Missing Feature,Objection,5
355,163,Competitor - CompetitorE,Competitor,6
356,163,Decision Timeline Confirmed,Buying Signal,2
357,163,Budget - Freeze Mentioned,Budget,8
358,165,Pricing - Too Expensive Objection,Pricing,5
359,165,Pricing - Volume Discount,Pricing,6
360,166,Discount - Multi-Year Ask,Discount,8
361,166,Risk - Stakeholder Pushback,Risk,5
362,166,Technical - Data Migration Plan,Technical,5
363,167,Procurement Process Started,Buying Signal,5
364,167,Pricing - Requested Quote,Pricing,1
365,167,Pricing - Enterprise Tier,Pricing,5
366,167,Technical - Custom Workflow Needs,Technical,4
367,167,Competitor - CompetitorA,Competitor,7
368,169,Pricing - Volume Discount,Pricing,8
369,169,Objection - Switching Cost,Objection,7
370,169,Next Steps Discussed,Buying Signal,4
371,170,Competitor - Open Source Alternative,Competitor,1
372,170,Competitor - CompetitorA,Competitor,5
373,170,Security - Penetration Testing,Security,5
374,170,Risk - Budget Freeze,Risk,-5
375,170,,,3
376,170,Security - SSO Requirement,Security,1
377,172,Contract Review Started,Buying Signal,8
378,172,Reference Call Requested,Buying Signal,5
379,172,Objection - Need More Stakeholder Buy-in,Objection,1
380,172,Pricing - Compared to Competitor,Pricing,2
381,175,Risk - Stakeholder Pushback,Risk,3
382,175,Pricing - Requested Quote,Pricing,4
383,175,Budget - Needs Approval,Budget,6
384,175,Decision Maker Involved,Buying Signal,3
385,176,Technical - Data Migration Plan,Technical,-7
386,176,Risk - Budget Freeze,Risk,4
387,177,Pricing - Enterprise Tier,Pricing,8
388,177,Competitor - CompetitorA,Competitor,6
389,179,Discount - End of Quarter,Discount,8
390,179,Objection - Need More Stakeholder Buy-in,Objection,3
391,180,Pricing - Volume Discount,Pricing,1
392,180,Competitor - CompetitorD,Competitor,6
393,180,Objection - Missing Feature,Objection,8
394,180,Security - Data Residency,Security,5
395,180,Next Steps Discussed,Buying Signal,7
396,180,Discount - Competitive Match,Discount,3
397,181,Technical - SSO / SAML Setup,Technical,6
398,181,,,8
399,184,Reference Call Requested,Buying Signal,1
400,184,Objection - Missing Feature,Objection,5
401,184,Budget - Approved,Budget,4
402,184,Pricing - Requested Quote,Pricing,4
403,184,Contract Review Started,Buying Signal,8
404,185,Competitor - CompetitorB,Competitor,3
405,185,Pricing - Requested Quote,Pricing,2
406,185,Budget - Reallocating Funds,Budget,4
407,185,Competitor - CompetitorA,Competitor,5
408,185,Pricing - Volume Discount,Pricing,6
409,186,Contract Review Started,Buying Signal,1
410,186,Risk - Budget Freeze,Risk,7
411,186,Decision Timeline Confirmed,Buying Signal,5
412,186,Technical - API Integration,Technical,2
413,186,Discount - End of Quarter,Discount,1
414,186,Risk - Champion Leaving,Risk,7
415,187,Budget - Needs Approval,Budget,3
416,187,Objection - Too Complex,Objection,4
417,187,Risk - Legal Blockers,Risk,8
418,187,Competitor - CompetitorB,Competitor,4
419,187,Budget - Approved,Budget,2
420,187,Security - Penetration Testing,Security,6
421,187,,,8
422,187,Discount - Multi-Year Ask,Discount,6
423,189,Pricing - Volume Discount,Pricing,3
424,189,Competitor - CompetitorB,Competitor,2
425,189,Reference Call Requested,Buying Signal,4
426,189,Competitor - Open Source Alternative,Competitor,1
427,189,Discount - End of Quarter,Discount,2
428,190,Competitor - Open Source Alternative,Competitor,5
429,190,Budget - Freeze Mentioned,Budget,7
430,190,Security - SOC2 Compliance,Security,-6
431,190,Competitor - CompetitorD,Competitor,3
432,190,Discount - End of Quarter,Discount,1
433,191,Decision Maker Involved,Buying Signal,3
434,192,Competitor - CompetitorE,Competitor,4
435,193,Decision Maker Involved,Buying Signal,8
436,193,Contract Review Started,Buying Signal,8
437,194,Discount - Competitive Match,Discount,8
438,194,Pricing - Volume Discount,Pricing,4
439,194,Security - GDPR Compliance,Security,8
440,197,Technical - Custom Workflow Needs,Technical,8
441,197,Pricing - Requested Quote,Pricing,3
442,198,Pricing - Requested Quote,Pricing,5
443,198,Budget - Freeze Mentioned,Budget,3
444,198,Competitor - CompetitorC,Competitor,5
445,198,Discount - Multi-Year Ask,Discount,7
446,198,Reference Call Requested,Buying Signal,3
447,199,Competitor - CompetitorE,Competitor,2
448,199,Competitor - Open Source Alternative,Competitor,1
449,199,Competitor - CompetitorA,Competitor,2
450,199,Budget - Needs Approval,Budget,3
451,199,Budget - Approved,Budget,7
452,199,Objection - Switching Cost,Objection,5
453,203,Competitor - CompetitorE,Competitor,6
454,203,Risk - Champion Leaving,Risk,3
455,205,Budget - Freeze Mentioned,Budget,1
456,205,Discount - Competitive Match,Discount,6
457,205,Security - SOC2 Compliance,Security,2
458,205,Objection - Switching Cost,Objection,1
459,209,Competitor - CompetitorA,Competitor,6
460,209,Reference Call Requested,Buying Signal,8
461,213,Competitor - Open Source Alternative,Competitor,7
462,213,Decision Timeline Confirmed,Buying Signal,5
463,213,Budget - Reallocating Funds,Budget,5
464,213,Discount - Competitive Match,Discount,1
465,213,Objection - Too Complex,Objection,3
466,213,Pricing - Compared to Competitor,Pricing,3
467,213,Budget - Freeze Mentioned,Budget,4
468,214,Security - SSO Requirement,Security,5
469,214,Objection - Team Adoption Concern,Objection,6
470,215,Security - Data Residency,Security,8
471,215,Decision Maker Involved,Buying Signal,5
472,215,Budget - Approved,Budget,1
473,215,Risk - Legal Blockers,Risk,5
474,217,Budget - Freeze Mentioned,Budget,3
475,217,,,1
476,217,Security - Penetration Testing,Security,4
477,218,Pricing - Enterprise Tier,Pricing,2
478,218,Budget - Reallocating Funds,Budget,8
479,219,Technical - SSO / SAML Setup,Technical,6
480,219,Pricing - Too Expensive Objection,Pricing,3
481,219,Pricing - Enterprise Tier,Pricing,7
482,219,Objection - Switching Cost,Objection,1
483,220,Budget - Freeze Mentioned,Budget,6
484,220,Security - SSO Requirement,Security,5
485,220,Pricing - Too Expensive Objection,Pricing,7
486,220,Competitor - Open Source Alternative,Competitor,4
487,220,Decision Maker Involved,Buying Signal,8
488,221,Pricing - Too Expensive Objection,Pricing,4
489,221,Risk - Budget Freeze,Risk,1
490,221,Risk - Delayed Timeline,Risk,3
491,222,Pricing - Requested Quote,Pricing,3
492,222,Risk - Champion Leaving,Risk,8
493,223,Discount - End of Quarter,Discount,7
494,223,Pricing - Compared to Competitor,Pricing,8
495,223,Security - Penetration Testing,Security,8
496,223,Pricing - Too Expensive Objection,Pricing,1
497,223,Next Steps Discussed,Buying Signal,6
498,224,Risk - No Decision Likely,Risk,4
499,224,Budget - Approved,Budget,5
500,224,Technical - API Integration,Technical,8
501,225,Discount - Competitive Match,Discount,5
502,225,Objection - Switching Cost,Objection,3
503,225,Risk - Competitor Evaluation,Risk,4
504,226,Objection - Need More Stakeholder Buy-in,Objection,2
505,226,Pricing - Enterprise Tier,Pricing,8
506,227,Security - GDPR Compliance,Security,4
507,228,,,5
508,228,Contract Review Started,Buying Signal,8
509,229,Next Steps Discussed,Buying Signal,8
510,229,Budget - Needs Approval,Budget,8
511,229,Budget - Reallocating Funds,Budget,3
512,230,Competitor - CompetitorC,Competitor,3
513,231,Budget - Needs Approval,Budget,5
514,232,Competitor - CompetitorC,Competitor,8
515,232,Competitor - CompetitorE,Competitor,6
516,232,Competitor - CompetitorD,Competitor,5
517,232,Risk - Legal Blockers,Risk,6
518,232,Competitor - CompetitorB,Competitor,-4
519,232,,,1
520,232,Technical - Custom Workflow Needs,Technical,4
521,232,Risk - Budget Freeze,Risk,4
522,234,Competitor - CompetitorA,Competitor,5
523,234,Objection - Missing Feature,Objection,6
524,234,,,5
525,234,Security - SSO Requirement,Security,8
526,235,Contract Review Started,Buying Signal,7
527,235,Decision Timeline Confirmed,Buying Signal,7
528,236,Risk - No Decision Likely,Risk,2
529,236,Procurement Process Started,Buying Signal,3
530,236,Discount - Multi-Year Ask,Discount,3
531,236,Budget - Reallocating Funds,Budget,5
532,240,,,3
533,240,Discount - End of Quarter,Discount,7
534,240,Budget - Freeze Mentioned,Budget,7
535,240,Contract Review Started,Buying Signal,6
536,243,Objection - Too Complex,Objection,6
537,245,Competitor - CompetitorA,Competitor,4
538,245,Decision Timeline Confirmed,Buying Signal,7
539,245,Pricing - Enterprise Tier,Pricing,8
540,245,Reference Call Requested,Buying Signal,3
541,245,Budget - Reallocating Funds,Budget,8
542,245,Risk - Competitor Evaluation,Risk,3
543,246,Pricing - Too Expensive Objection,Pricing,5
544,248,Budget - Needs Approval,Budget,7
545,248,Risk - Stakeholder Pushback,Risk,7
546,248,Risk - Competitor Evaluation,Risk,2
547,248,Risk - No Decision Likely,Risk,3
548,249,Discount - End of Quarter,Discount,1
549,249,Discount - Competitive Match,Discount,2
550,249,Competitor - CompetitorB,Competitor,7
551,249,Risk - Delayed Timeline,Risk,1
552,250,Contract Review Started,Buying Signal,3
553,250,Competitor - Open Source Alternative,Competitor,8
554,250,Discount - Competitive Match,Discount,8
555,250,Pricing - Enterprise Tier,Pricing,1
556,250,Budget - Freeze Mentioned,Budget,7
557,251,Security - SOC2 Compliance,Security,1
558,251,,,5
559,251,Discount - Multi-Year Ask,Discount,4
560,251,Pricing - Too Expensive Objection,Pricing,5
561,252,Objection - Team Adoption Concern,Objection,7
562,255,Budget - Reallocating Funds,Budget,4
563,255,Risk - Champion Leaving,Risk,2
564,255,Pricing - Too Expensive Objection,Pricing,8
565,256,Discount - End of Quarter,Discount,2
566,256,Decision Maker Involved,Buying Signal,6
567,256,Budget - Reallocating Funds,Budget,2
568,256,Pricing - Enterprise Tier,Pricing,6
569,256,Budget - Approved,Budget,3
570,258,POC Requested,Buying Signal,6
571,260,Competitor - CompetitorE,Competitor,7
572,260,Competitor - CompetitorD,Competitor,4
573,262,Pricing - Requested Quote,Pricing,4
574,262,Security - SOC2 Compliance,Security,1
575,262,Risk - Stakeholder Pushback,Risk,8
576,262,Risk - Competitor Evaluation,Risk,7
577,262,Reference Call Requested,Buying Signal,8
578,262,Technical - Custom Workflow Needs,Technical,8
579,262,Competitor - CompetitorB,Competitor,3
580,262,Decision Timeline Confirmed,Buying Signal,6
581,264,Objection - Missing Feature,Objection,-8
582,264,Security - SOC2 Compliance,Security,5
583,264,,,3
584,264,Pricing - Volume Discount,Pricing,2
585,266,Competitor - Open Source Alternative,Competitor,7
586,266,Risk - Competitor Evaluation,Risk,5
587,266,Pricing - Requested Quote,Pricing,5
588,267,Pricing - Compared to Competitor,Pricing,1
589,267,Technical - Performance Requirements,Technical,1
590,267,Competitor - CompetitorB,Competitor,1
591,267,Discount - Multi-Year Ask,Discount,2
592,271,Pricing - Volume Discount,Pricing,1
593,271,Technical - Data Migration Plan,Technical,8
594,271,Budget - Freeze Mentioned,Budget,3
595,271,Budget - Approved,Budget,4
596,271,Security - SOC2 Compliance,Security,4
597,273,Pricing - Compared to Competitor,Pricing,2
598,273,Objection - Missing Feature,Objection,6
599,273,Procurement Process Started,Buying Signal,1
600,274,POC Requested,Buying Signal,4
601,274,Pricing - Compared to Competitor,Pricing,2
602,274,Risk - Champion Leaving,Risk,3
603,274,Competitor - CompetitorC,Competitor,5
604,277,Next Steps Discussed,Buying Signal,2
605,277,Security - GDPR Compliance,Security,4
606,278,Decision Maker Involved,Buying Signal,3
607,278,Discount - Multi-Year Ask,Discount,2
608,278,Security - SSO Requirement,Security,8
609,278,Budget - Reallocating Funds,Budget,7
610,281,POC Requested,Buying Signal,5
611,285,Competitor - CompetitorD,Competitor,5
612,286,Budget - Freeze Mentioned,Budget,5
613,286,Budget - Needs Approval,Budget,4
614,286,Competitor - CompetitorA,Competitor,4
615,286,Competitor - CompetitorE,Competitor,3
616,286,Contract Review Started,Buying Signal,6
617,287,Risk - No Decision Likely,Risk,5
618,287,Risk - Delayed Timeline,Risk,3
619,287,Technical - Custom Workflow Needs,Technical,2
620,287,Competitor - CompetitorA,Competitor,3
621,287,Contract Review Started,Buying Signal,3
622,289,Technical - API Integration,Technical,6
623,289,Competitor - CompetitorB,Competitor,6
624,289,Pricing - Too Expensive Objection,Pricing,7
625,289,Risk - Champion Leaving,Risk,1
