call_id,opp_id,owner_id,call_date,duration_minutes,direction,call_type,disposition,num_participants,talk_ratio_rep,longest_monologue_sec,question_count,next_steps_mentioned
80,3410,6,2024-06-18T11:00:00,41,Inbound,Technical Deep Dive,Completed,6,0.53,161,5,True
81,3502,8,2021-04-07T09:45:00,41,Outbound,Demo,Completed,7,0.58,42,12,True
82,3245,3,2024-10-29T14:30:00,15,Inbound,Demo,Completed,4,0.46,56,6,True
83,1797,7,2023-09-22T09:45:00,-52,Inbound,Negotiation,Completed,5,0.4,206,19,False
84,4100,7,2024-06-15T10:15:00,0,Outbound,Check-In,No Show,1,,,0,False
85,3129,6,2024-05-21T13:00:00,16,Outbound,Technical Deep Dive,Completed,8,0.54,42,6,False
86,3889,11,2024-10-09T09:30:00,47,Inbound,Technical Deep Dive,Completed,5,0.67,52,7,False
87,973,13,2021-10-20T14:15:00,35,Outbound,Follow-Up,Completed,8,0.63,193,7,True
88,3026,4,2024-11-06T12:00:00,,Outbound,Discovery,Completed,7,0.84,140,7,False
89,3926,9,2024-12-05T15:45:00,20,Outbound,Negotiation,Rescheduled,1,,,0,False
90,4364,12,2021-11-20T12:00:00,15,Inbound,Technical Deep Dive,Completed,3,0.59,107,8,True
91,264,11,2024-12-06T17:30:00,25,Inbound,Discovery,Rescheduled,1,,,0,False
92,565,12,2024-10-25T12:45:00,43,Outbound,Technical Deep Dive,Completed,8,0.44,107,18,True
93,1269,8,2021-05-10T16:45:00,46,Outbound,Check-In,Completed,5,0.42,115,8,True
94,1650,9,2023-07-07T14:30:00,51,Outbound,Follow-Up,Completed,4,0.79,185,2,False
95,2027,2,2024-12-14T10:45:00,28,Outbound,QBR,Completed,2,0.6,197,9,True
96,2899,12,2022-04-21T16:15:00,32,Outbound,Demo,Completed,6,1.2,181,15,False
97,1773,13,2024-11-27T11:00:00,26,Inbound,Negotiation,Completed,8,0.51,153,9,False
98,3001,1,2021-11-26T12:00:00,54,Outbound,Discovery,Completed,8,0.48,98,20,True
99,1916,15,2024-05-15T15:00:00,27,Outbound,QBR,Completed,2,0.77,112,7,False
100,596,3,2022-02-15T16:15:00,26,Inbound,Follow-Up,Completed,2,0.39,57,18,False
101,1447,15,2022-09-28T14:00:00,58,Outbound,Negotiation,Completed,5,0.71,47,16,False
102,3038,12,2024-12-06T13:00:00,51,Inbound,Follow-Up,Rescheduled,1,,,0,False
103,1155,14,2023-08-31T09:45:00,52,Outbound,Follow-Up,Completed,5,0.6,121,3,False
104,2421,11,2021-03-16T12:15:00,31,Inbound,Negotiation,Completed,3,0.47,210,13,True
105,4065,16,2024-08-15T15:30:00,41,Outbound,Technical Deep Dive,Completed,4,0.75,149,11,False
106,4432,16,2022-04-30T15:15:00,47,Outbound,QBR,Rescheduled,1,,,0,False
107,2230,6,2024-02-08T10:30:00,45,Outbound,Negotiation,Completed,8,0.44,72,20,True
108,3116,13,2024-07-17T15:15:00,58,Outbound,Negotiation,Completed,4,0.48,78,8,False
109,3231,5,2030-06-15T10:00:00,50,Outbound,Technical Deep Dive,Completed,5,0.42,125,19,False
110,1300,16,2024-12-02T10:00:00,59,Outbound,Follow-Up,Completed,8,0.58,240,13,False
111,1510,14,2024-10-22T14:30:00,-31,Outbound,Check-In,Completed,3,0.56,37,11,False
112,370,2,2023-04-08T14:45:00,34,Outbound,Demo,Completed,4,0.78,126,12,True
113,3664,4,2024-01-16T13:00:00,32,Inbound,Demo,Completed,2,0.56,133,7,True
114,276,13,2023-11-17T12:15:00,60,Outbound,Demo,Completed,7,0.53,80,7,False
115,3698,2,2030-06-15T10:00:00,41,Outbound,Follow-Up,Completed,5,0.58,136,22,True
116,1376,10,2022-11-28T12:30:00,38,Outbound,Demo,Completed,5,0.45,124,12,True
117,346,11,2023-02-10T13:00:00,42,Outbound,Discovery,Completed,6,0.47,99,5,True
118,1066,4,2023-05-07T09:45:00,27,Inbound,Discovery,Completed,5,0.35,150,8,True
119,414,5,2030-06-15T10:00:00,3,Outbound,QBR,Voicemail,1,,,0,False
120,2072,11,2024-04-06T09:00:00,3,Inbound,Negotiation,Voicemail,1,,,0,False
121,4224,1,2024-12-06T11:30:00,30,Inbound,Technical Deep Dive,Completed,8,0.34,111,10,True
122,4541,3,2024-03-23T13:30:00,22,Inbound,Discovery,Completed,7,0.43,128,24,False
123,4605,8,2023-07-17T15:15:00,18,Outbound,Discovery,Completed,5,0.44,213,7,True
124,3108,13,2024-02-14T14:00:00,26,Outbound,Discovery,Completed,4,0.58,125,9,False
125,3142,8,2024-12-11T10:00:00,15,Outbound,Check-In,Completed,6,0.67,210,15,False
126,1839,11,2023-12-09T16:15:00,21,Outbound,Check-In,Completed,4,1.21,189,12,False
127,1434,15,2024-12-10T14:30:00,48,Outbound,Follow-Up,Completed,2,0.67,56,10,False
128,4794,11,2024-12-04T12:30:00,53,Outbound,Discovery,Completed,8,0.6,79,11,True
129,4116,3,2024-08-09T09:30:00,48,Inbound,Demo,Completed,7,0.52,153,20,True
130,3999,6,2024-08-25T12:30:00,0,Inbound,Technical Deep Dive,No Show,1,,,0,False
131,4404,11,2024-11-15T15:45:00,48,Outbound,Discovery,Completed,8,0.61,234,1,True
132,3320,14,2024-01-09T14:15:00,51,Inbound,Check-In,Completed,7,0.63,81,12,False
133,1487,6,2023-06-02T12:45:00,37,Outbound,QBR,Completed,8,0.7,51,14,True
134,4590,11,2024-03-16T13:30:00,15,Outbound,Demo,Completed,5,0.53,156,12,False
135,2758,9,2024-12-14T10:45:00,1,Outbound,Check-In,Voicemail,1,,,0,False
136,2995,9,2024-03-11T12:00:00,57,Inbound,Demo,Completed,2,0.53,43,8,True
137,4561,13,2022-08-19T16:00:00,1,Outbound,Check-In,Voicemail,1,,,0,False
138,3377,16,2024-12-21T13:30:00,15,Inbound,Demo,Completed,2,0.69,161,11,False
139,1349,15,2024-11-08T11:00:00,21,Outbound,Demo,Completed,5,0.54,71,11,True
140,4731,9,2024-07-11T13:45:00,52,Outbound,Technical Deep Dive,Rescheduled,1,,,0,False
141,4835,14,2022-02-18T14:00:00,19,Outbound,Discovery,Completed,5,0.7,71,11,False
142,329,2,2023-02-16T11:45:00,0,Inbound,Discovery,No Show,1,,,0,False
143,2596,11,2024-12-24T14:45:00,44,Outbound,Follow-Up,Completed,6,0.44,240,10,True
144,2851,11,2024-12-19T14:15:00,16,Outbound,Discovery,Completed,4,0.55,133,5,False
145,975,14,2023-12-05T15:45:00,51,Outbound,Technical Deep Dive,Completed,7,0.79,232,2,False
146,4628,2,2022-06-14T11:45:00,25,Inbound,Follow-Up,Completed,8,0.46,168,10,False
147,1462,4,2024-03-16T15:00:00,36,Outbound,Check-In,Completed,5,0.49,68,9,False
148,2299,15,2024-10-03T11:45:00,0,Inbound,Discovery,No Show,1,,,0,False
149,515,16,2024-12-05T10:15:00,17,Outbound,Check-In,Completed,6,0.57,201,9,True
150,1048,16,2024-12-26T11:00:00,2,Outbound,Discovery,Voicemail,1,,,0,False
151,4978,6,2023-10-31T11:00:00,33,Inbound,QBR,Completed,2,0.61,45,4,True
152,2875,14,2024-12-31T12:00:00,27,Inbound,QBR,Completed,7,0.53,39,7,False
153,2661,3,2023-11-26T14:00:00,55,Outbound,Check-In,Rescheduled,1,,,0,False
154,4840,2,2024-08-29T16:30:00,,Outbound,QBR,Completed,6,0.28,134,20,True
155,4921,7,2024-07-04T17:15:00,2,Outbound,Follow-Up,Voicemail,1,,,0,False
156,2619,12,2024-02-15T15:00:00,0,Outbound,Follow-Up,No Show,1,,,0,False
157,4499,1,2024-09-22T10:45:00,30,Outbound,Negotiation,Completed,6,0.35,92,24,True
158,2996,10,2020-03-15T15:00:00,33,Outbound,Check-In,Completed,4,0.53,149,4,False
159,2225,10,2024-06-22T09:15:00,60,Inbound,QBR,Completed,2,0.83,215,3,False
160,828,6,2024-12-12T12:45:00,57,Outbound,Check-In,Completed,7,0.68,211,11,False
161,49,11,2024-12-23T11:45:00,48,Outbound,QBR,Completed,3,0.68,133,5,False
162,4958,10,2030-06-15T10:00:00,42,Outbound,Negotiation,Completed,5,1.17,101,3,False
163,4331,10,2024-11-22T12:30:00,28,Outbound,Follow-Up,Completed,7,0.49,164,17,True
164,3498,16,2024-12-20T11:45:00,,Inbound,Negotiation,Completed,2,0.48,113,15,False
165,2031,10,2021-01-03T13:45:00,32,Outbound,Discovery,Completed,8,0.74,218,7,True
166,4868,11,2024-05-02T13:30:00,19,Outbound,Follow-Up,Completed,8,0.68,252,13,False
167,1545,7,2030-06-15T10:00:00,49,Inbound,Demo,Completed,8,0.55,97,19,True
168,1678,11,2024-11-01T13:15:00,0,Outbound,Discovery,No Show,1,,,0,False
169,1549,14,2024-12-19T14:45:00,52,Outbound,Follow-Up,Completed,8,0.76,235,2,False
170,3541,11,2024-02-07T14:45:00,55,Outbound,Negotiation,Completed,7,0.47,100,10,False
171,4551,9,2023-10-05T09:15:00,0,Outbound,Demo,No Show,1,,,0,False
172,3516,6,2024-07-17T16:00:00,45,Inbound,QBR,Completed,5,0.44,224,7,True
173,2027,2,2024-12-19T15:15:00,57,Outbound,Technical Deep Dive,Rescheduled,1,,,0,False
174,1874,13,2022-07-14T17:15:00,2,Outbound,Follow-Up,Voicemail,1,,,0,False
175,19,13,2024-04-16T11:15:00,33,Inbound,Negotiation,Completed,4,0.66,296,5,False
176,3591,7,2024-11-28T10:45:00,21,Inbound,Discovery,Completed,5,0.38,151,8,False
177,4811,8,2021-05-17T12:00:00,57,Inbound,Negotiation,Completed,5,0.52,266,4,True
178,3097,1,2023-03-17T14:00:00,,Inbound,Check-In,Rescheduled,1,,,0,False
179,4541,3,2024-03-31T13:15:00,37,Inbound,Check-In,Completed,4,0.3,224,15,False
180,2584,12,2022-06-06T12:00:00,48,Inbound,QBR,Completed,3,0.63,271,4,False
181,1641,13,2024-02-17T10:30:00,16,Inbound,Demo,Completed,2,0.72,100,8,False
182,1610,11,2024-11-14T15:45:00,0,Inbound,QBR,No Show,1,,,0,False
183,1058,13,2024-08-13T13:15:00,0,Outbound,Technical Deep Dive,No Show,1,,,0,False
184,114,1,2023-08-22T09:45:00,50,Outbound,Follow-Up,Completed,6,0.63,108,10,True
185,4182,8,2024-05-25T13:30:00,35,Outbound,Demo,Completed,6,0.51,177,18,True
186,2935,15,2024-10-05T15:45:00,51,Outbound,Check-In,Completed,6,0.45,136,12,True
187,4106,4,2024-11-21T16:45:00,48,Inbound,Discovery,Completed,6,0.46,121,18,True
188,4858,4,2024-11-22T16:45:00,3,Outbound,Technical Deep Dive,Voicemail,1,,,0,False
189,1019,2,2024-12-22T15:30:00,49,Outbound,Demo,Completed,7,0.59,55,16,False
190,163,13,2022-07-04T13:45:00,60,Outbound,Check-In,Completed,6,0.93,133,6,False
191,4156,8,2024-12-11T15:45:00,20,Inbound,Check-In,Completed,2,1.15,49,16,False
192,1077,3,2024-11-25T12:30:00,35,Outbound,Discovery,Completed,8,0.57,143,20,True
193,416,2,2024-05-18T09:00:00,18,Outbound,Demo,Completed,7,0.25,122,14,True
194,4083,3,2024-04-12T09:15:00,38,Outbound,Discovery,Completed,5,0.41,182,12,False
195,997,1,2024-08-08T15:00:00,0,Inbound,Follow-Up,No Show,1,,,0,False
196,861,15,2024-12-03T11:15:00,36,Outbound,Follow-Up,Rescheduled,1,,,0,False
197,4212,15,2024-08-06T12:15:00,28,Outbound,Follow-Up,Completed,8,0.37,78,6,True
198,805,12,2024-12-06T11:45:00,38,Outbound,QBR,Completed,8,0.47,154,15,False
199,1870,7,2024-07-28T15:30:00,60,Inbound,Demo,Completed,6,0.84,216,3,False
200,664,1,2023-09-30T12:15:00,50,Outbound,Check-In,Rescheduled,1,,,0,False
201,2051,6,2023-07-07T14:45:00,1,Outbound,QBR,Voicemail,1,,,0,False
202,4776,4,2023-06-14T13:15:00,2,Inbound,Check-In,Voicemail,1,,,0,False
203,2984,13,2024-12-19T09:00:00,23,Outbound,Demo,Completed,5,0.69,118,11,False
204,1163,1,2023-10-15T14:45:00,19,Inbound,Technical Deep Dive,Completed,5,0.5,235,16,True
205,3444,4,2024-10-19T11:30:00,33,Outbound,Follow-Up,Completed,7,0.58,183,8,True
206,4012,8,2024-10-26T13:30:00,15,Outbound,Negotiation,Rescheduled,1,,,0,False
207,2658,7,2023-12-01T15:45:00,47,Inbound,Follow-Up,Rescheduled,1,,,0,False
208,3180,3,2024-07-20T16:15:00,0,Outbound,Check-In,No Show,1,,,0,False
209,1460,14,2023-05-02T10:00:00,36,Outbound,Discovery,Completed,6,0.59,114,9,True
210,2690,9,2024-12-05T09:45:00,0,Outbound,Follow-Up,No Show,1,,,0,False
211,2877,12,2023-02-18T12:45:00,0,Outbound,Follow-Up,No Show,1,,,0,False
212,2601,10,2024-12-04T14:45:00,2,Outbound,QBR,Voicemail,1,,,0,False
213,1317,16,2030-06-15T10:00:00,54,Outbound,Follow-Up,Completed,3,0.79,210,4,False
214,2755,5,2024-04-13T14:30:00,36,Outbound,QBR,Completed,3,0.66,181,10,False
215,4581,9,2024-10-14T12:15:00,48,Outbound,Negotiation,Completed,5,0.56,154,7,False
216,2142,13,2022-04-08T14:30:00,,Outbound,Demo,Rescheduled,1,,,0,False
217,1924,2,2024-12-03T15:30:00,20,Outbound,Check-In,Completed,4,0.64,203,15,False
218,2444,7,2023-12-10T17:45:00,45,Outbound,Discovery,Completed,6,0.61,146,16,True
219,4835,14,2022-04-25T15:15:00,47,Inbound,Negotiation,Completed,8,0.69,239,11,False
220,1850,4,2024-12-14T14:00:00,36,Inbound,Negotiation,Completed,5,0.45,84,20,True
221,2543,16,2024-09-10T15:00:00,48,Outbound,Discovery,Completed,5,0.75,186,7,False
222,2941,3,2024-12-17T13:00:00,47,Inbound,Check-In,Completed,5,0.47,115,19,False
223,1613,8,2022-03-04T15:15:00,45,Inbound,Follow-Up,Completed,6,0.67,162,4,False
224,4231,13,2024-12-06T15:30:00,28,Inbound,Follow-Up,Completed,7,0.55,31,10,False
225,3299,1,2023-09-20T12:00:00,59,Outbound,Negotiation,Completed,4,0.36,130,7,False
226,3862,3,2023-11-04T15:45:00,57,Outbound,Follow-Up,Completed,7,0.38,98,20,False
227,3466,10,2024-10-03T17:30:00,35,Outbound,Negotiation,Completed,4,0.73,159,1,False
228,4057,6,2024-12-17T16:30:00,36,Outbound,Demo,Completed,3,0.45,219,16,False
229,3591,7,2024-12-28T10:45:00,47,Outbound,Follow-Up,Completed,8,0.43,30,18,True
230,2108,5,2024-12-07T12:45:00,15,Outbound,Follow-Up,Completed,5,0.62,55,8,False
231,3133,6,2024-10-14T16:15:00,30,Outbound,Follow-Up,Completed,7,0.46,235,17,False
232,381,10,2024-12-08T10:00:00,59,Outbound,Technical Deep Dive,Completed,3,0.68,175,11,True
233,1890,3,2024-01-25T12:30:00,,Outbound,Follow-Up,Completed,6,0.53,102,19,False
234,3142,8,2024-12-15T10:15:00,45,Outbound,Check-In,Completed,5,0.38,89,10,False
235,571,9,2023-05-01T14:30:00,15,Outbound,QBR,Completed,4,0.72,63,15,False
236,1623,15,2024-12-16T10:15:00,45,Outbound,Follow-Up,Completed,6,0.5,139,16,True
237,4483,10,2024-12-27T13:15:00,0,Outbound,Discovery,No Show,1,,,0,False
238,4335,13,2024-12-25T09:00:00,-43,Outbound,Discovery,Completed,5,0.74,127,4,False
239,2499,1,2024-08-23T10:00:00,26,Outbound,Check-In,Rescheduled,1,,,0,False
240,4417,11,2024-08-21T14:15:00,29,Inbound,Negotiation,Completed,8,0.47,177,12,False
241,4963,2,2023-06-07T09:30:00,21,Outbound,Check-In,Rescheduled,1,,,0,False
242,629,6,2022-08-14T10:45:00,0,Outbound,Follow-Up,No Show,1,,,0,False
243,3523,10,2022-01-16T14:15:00,28,Outbound,Negotiation,Completed,7,0.64,234,1,False
244,1105,6,2023-10-25T10:00:00,43,Inbound,Check-In,Rescheduled,1,,,0,False
245,4829,12,2024-01-11T11:30:00,50,Outbound,Technical Deep Dive,Completed,7,0.62,136,8,True
246,831,15,2024-12-21T13:30:00,24,Inbound,QBR,Completed,4,0.81,207,10,False
247,1830,3,2024-08-28T16:00:00,55,Outbound,Discovery,Rescheduled,1,,,0,False
248,238,8,2023-03-13T13:00:00,23,Inbound,Demo,Completed,7,0.56,234,20,False
249,2355,2,2024-12-29T16:45:00,48,Outbound,Check-In,Completed,4,0.63,83,13,True
250,4534,7,2024-05-11T15:45:00,37,Outbound,Check-In,Completed,5,0.69,78,9,True
251,4302,14,2024-12-20T12:15:00,33,Outbound,Demo,Completed,2,0.45,66,11,True
252,2730,8,2024-10-20T14:00:00,24,Outbound,QBR,Completed,5,0.55,125,5,True
253,1477,15,2024-12-22T11:00:00,1,Outbound,Check-In,Voicemail,1,,,0,False
254,2724,15,2024-12-04T13:15:00,,Outbound,Demo,Completed,7,0.53,148,16,False
255,1535,15,2024-12-30T14:30:00,20,Outbound,Follow-Up,Completed,3,0.68,139,11,False
256,2143,7,2023-08-04T16:30:00,43,Outbound,Follow-Up,Completed,7,0.69,223,5,False
257,1235,3,2024-12-18T15:30:00,55,Inbound,QBR,Rescheduled,1,,,0,False
258,3215,1,2024-12-21T13:00:00,15,Outbound,Discovery,Completed,6,0.55,215,6,False
259,936,4,2023-03-24T11:30:00,23,Outbound,Follow-Up,Rescheduled,1,,,0,False
260,1211,9,2024-10-27T13:15:00,22,Inbound,Check-In,Completed,4,0.62,56,18,True
261,119,13,2024-09-03T12:30:00,43,Outbound,Demo,Rescheduled,1,,,0,False
262,2561,12,2022-11-28T13:45:00,57,Outbound,Negotiation,Completed,7,1.17,97,4,False
263,3010,5,2023-06-28T14:30:00,0,Outbound,Follow-Up,No Show,1,,,0,False
264,1850,4,2024-12-21T14:15:00,30,Outbound,Demo,Completed,3,0.61,68,9,True
265,2401,4,2021-12-04T14:15:00,0,Outbound,Technical Deep Dive,No Show,1,,,0,False
266,3284,4,2024-11-19T17:00:00,48,Outbound,QBR,Completed,6,0.52,292,10,False
267,3673,2,2024-12-13T14:45:00,41,Inbound,Demo,Completed,6,0.41,199,8,True
268,195,10,2024-08-18T11:00:00,23,Outbound,Negotiation,Completed,5,0.46,215,5,True
269,4161,11,2024-12-21T12:00:00,57,Outbound,Technical Deep Dive,Rescheduled,1,,,0,False
270,2918,9,2024-02-20T11:45:00,50,Inbound,Follow-Up,Rescheduled,1,,,0,False
271,1538,11,2024-12-04T13:00:00,36,Outbound,Negotiation,Completed,5,0.56,70,13,True
272,286,1,2024-03-07T11:45:00,0,Inbound,Negotiation,No Show,1,,,0,False
273,2633,2,2023-06-12T14:45:00,38,Inbound,Demo,Completed,3,0.72,282,14,False
274,1297,11,2022-08-16T10:30:00,27,Outbound,Discovery,Completed,5,0.85,149,6,False
275,307,15,2024-12-25T10:45:00,36,Outbound,QBR,Rescheduled,1,,,0,False
276,555,3,2024-08-28T09:45:00,0,Inbound,Demo,No Show,1,,,0,False
277,1385,2,2024-04-26T09:45:00,15,Inbound,Follow-Up,Completed,6,0.49,86,16,False
278,79,1,2023-12-24T08:45:00,23,Outbound,Demo,Completed,8,0.52,195,14,True
279,4419,4,2024-01-07T10:45:00,2,Outbound,Discovery,Voicemail,1,,,0,False
280,1580,3,2022-02-07T15:45:00,0,Inbound,Negotiation,No Show,1,,,0,False
281,4824,2,2021-01-19T11:30:00,24,Outbound,QBR,Completed,6,0.63,201,19,True
282,2896,10,2024-09-09T13:45:00,,Outbound,QBR,Completed,8,0.45,76,8,False
283,4577,5,2024-09-04T15:15:00,0,Outbound,Negotiation,No Show,1,,,0,False
284,3138,7,2024-07-21T10:00:00,28,Inbound,QBR,Rescheduled,1,,,0,False
285,4496,15,2022-03-14T13:00:00,33,Outbound,Technical Deep Dive,Completed,5,0.52,75,7,True
286,846,16,2024-12-28T10:15:00,44,Outbound,Discovery,Completed,4,0.71,194,7,True
287,3717,13,2020-10-03T14:30:00,32,Outbound,Demo,Completed,4,0.53,120,11,True
288,841,6,2024-12-25T14:00:00,30,Outbound,Negotiation,Rescheduled,1,,,0,False
