activity_id,lead_id,campaign_id,activity_type,activity_date,utm_source
67,5860,12,Email Open,2023-02-22T07:01:00,
68,355,82,Form Fill,2020-04-17T11:16:00,
69,1382,,Form Fill,2020-07-17T02:34:00,
70,5707,59,Form Fill,2022-09-28T23:06:00,direct
71,7941,17,Email Open,2023-12-05T14:58:00,
72,1224,3,Webinar Attended,2021-12-05T01:23:00,
73,531,116,Form Fill,2020-12-01T04:38:00,direct
74,1545,115,Form Fill,2020-01-24T06:53:00,direct
75,2446,126,Webinar Attended,2021-05-08T07:40:00,
76,1267,25,Content Download,2020-07-01T00:23:00,
77,3845,200,Webinar Registration,2021-04-19T19:12:00,
78,1750,137,Webinar Registration,2023-07-12T14:53:00,
79,7447,136,Webinar Registration,2024-08-23T09:43:00,
80,4398,66,Email Bounce,2021-02-22T12:58:00,
81,852,,Webinar Registration,2020-06-15T15:56:00,
82,7437,9,Ad Click,2021-04-28T00:26:00,google
83,7401,85,Form Fill,2023-10-01T16:31:00,referral
84,7901,168,Ad Click,2023-04-11T09:34:00,
85,7258,14,Email Open,2023-06-24T05:53:00,
86,979,88,Content Download,2023-09-18T00:48:00,
87,2298,179,,2020-09-24T21:14:00,
88,720,173,Form Fill,2023-06-28T09:50:00,facebook
89,5080,110,Webinar Registration,2020-07-14T23:40:00,
90,7690,151,Email Bounce,2023-11-20T17:27:00,
91,2899,127,Email Open,2020-01-13T18:11:00,
92,1186,91,Email Open,2023-05-19T13:10:00,
93,6711,32,Page Visit,2023-04-18T18:39:00,facebook
94,5309,161,Email Open,2022-05-20T21:55:00,
95,153,135,Webinar Attended,2022-03-04T12:20:00,
96,3870,93,Email Open,2024-06-14T12:03:00,
97,3330,74,,2024-05-26T11:05:00,
98,2828,76,Email Click,2023-06-12T00:43:00,
99,2465,177,Email Click,2021-10-31T01:47:00,
100,1821,90,Content Download,2024-06-25T14:04:00,
101,1593,124,Email Open,2021-09-10T12:39:00,
102,2652,23,Form Fill,2024-02-02T03:06:00,facebook
103,5371,163,Email Open,2022-05-09T22:35:00,
104,107,91,Email Open,2023-06-18T15:51:00,
105,1985,100,Form Fill,2024-06-24T15:32:00,twitter
106,1718,44,,2022-03-06T21:51:00,
107,5387,142,Email Click,2021-03-14T03:42:00,
108,1521,66,Email Open,2021-03-21T15:36:00,
109,7460,137,Form Fill,2023-08-20T18:55:00,
110,2731,57,Email Open,2020-10-18T17:24:00,
111,5434,15,Form Fill,2024-10-09T15:27:00,google
112,2668,21,Email Open,2024-12-03T00:00:00,
113,1871,151,Email Open,2023-10-21T08:49:00,
114,7952,4,Page Visit,2022-08-13T00:32:00,direct
115,4308,152,Form Fill,2021-01-21T07:43:00,facebook
116,4322,145,Webinar Attended,2021-01-05T01:22:00,
117,843,188,Email Open,2021-11-25T07:10:00,
118,2346,98,Form Fill,2020-02-29T23:07:00,facebook
119,7888,81,Email Click,2021-05-04T09:53:00,
120,6393,73,Content Download,2021-09-11T23:41:00,
121,3797,56,Form Fill,2024-09-26T16:56:00,direct
122,2663,122,Ad Click,2021-09-24T14:54:00,google
123,4587,,Page Visit,2020-04-01T10:46:00,referral
124,1804,131,Email Open,2021-01-04T00:36:00,
125,2669,52,Email Bounce,2021-09-19T03:33:00,
126,4157,89,Email Open,2023-08-10T10:00:00,
127,3028,186,Page Visit,2020-04-06T17:10:00,twitter
128,6592,68,,2024-09-25T01:22:00,referral
129,4396,76,Email Open,2023-05-26T05:06:00,
130,5179,97,Email Open,2020-09-29T18:17:00,
131,2930,100,Webinar Registration,2024-07-28T02:13:00,
132,5421,38,Email Click,2023-01-05T12:36:00,
133,84,5,Email Open,2024-07-30T14:08:00,
134,4263,42,Email Open,2020-04-20T14:19:00,
135,6340,184,Form Fill,2020-05-06T00:11:00,google
136,788,104,Email Click,2024-04-14T07:10:00,
137,224,155,Form Fill,2022-06-01T05:13:00,referral
138,5039,73,Webinar Registration,2021-08-17T02:22:00,
139,5165,196,Ad Click,2022-04-16T22:15:00,google
140,5004,73,Page Visit,2021-09-23T13:00:00,referral
141,5592,118,Email Click,2024-02-29T17:46:00,
142,6586,114,Email Open,2024-06-23T17:15:00,
143,1982,161,Email Click,2022-05-24T15:43:00,
144,6715,100,Email Open,2024-08-13T18:22:00,
145,2219,,Email Open,2021-05-21T14:49:00,
146,1658,84,Webinar Attended,2020-03-05T18:47:00,
147,4847,130,,2023-12-24T05:16:00,
148,5892,23,Ad Click,2023-12-16T05:27:00,
149,7080,,Form Fill,2022-06-13T15:08:00,google
150,3732,12,Content Download,2023-03-03T14:41:00,
151,3242,93,Email Click,2024-07-03T22:30:00,
152,6689,182,Email Click,2022-02-03T06:30:00,
153,6332,173,Ad Click,2023-06-18T07:10:00,linkedin
154,1816,181,Email Click,2020-07-09T15:24:00,
155,6005,41,Email Open,2022-10-17T18:33:00,
156,3791,158,Page Visit,2020-12-16T19:03:00,referral
157,6885,24,Content Download,2021-05-09T14:43:00,
158,6113,199,Email Bounce,2021-09-04T18:13:00,
159,3940,200,Form Fill,2021-04-20T14:19:00,referral
160,6195,125,Email Bounce,2023-09-15T05:54:00,
161,2415,90,Ad Click,2024-06-20T15:37:00,direct
162,1197,139,Form Fill,2024-12-20T05:36:00,direct
163,5238,41,Email Click,2022-07-09T09:50:00,
164,4280,130,Email Open,2024-01-15T18:29:00,
165,6619,136,Page Visit,2024-08-23T02:57:00,facebook
166,5701,99,Content Download,2022-03-21T07:51:00,
167,78,150,Ad Click,2020-05-07T12:36:00,direct
168,2569,7,Page Visit,2024-06-05T12:42:00,linkedin
169,6711,142,Webinar Registration,2021-03-08T00:28:00,
170,986,65,Email Open,2021-12-07T06:40:00,
171,2962,96,Email Open,2020-10-01T13:29:00,
172,5630,149,Ad Click,2021-04-06T06:18:00,twitter
173,7587,145,Email Open,2021-01-12T01:26:00,
174,5792,145,Webinar Registration,2021-01-04T23:03:00,
175,1186,24,Email Bounce,2021-04-19T22:56:00,
176,7882,20,Ad Click,2023-11-03T15:33:00,twitter
177,511,42,Unsubscribe,2020-05-10T16:57:00,
178,5300,140,Page Visit,2021-03-15T17:23:00,referral
179,3169,45,Page Visit,2022-05-17T10:24:00,linkedin
180,6099,58,Ad Click,2022-05-03T01:07:00,
181,4858,82,Webinar Attended,2020-04-11T00:56:00,
182,3133,49,Email Bounce,2024-03-08T02:12:00,
183,774,148,Unsubscribe,2024-05-01T21:11:00,
184,1783,,Page Visit,2024-08-01T06:39:00,twitter
185,5566,126,Email Bounce,2021-04-29T08:28:00,
186,6431,70,Ad Click,2022-11-24T08:59:00,
187,4282,137,Webinar Attended,2023-08-31T05:08:00,
188,5387,170,Form Fill,2023-12-02T09:17:00,google
189,6165,51,Page Visit,2021-05-29T11:30:00,
190,716,76,Content Download,2023-06-12T07:02:00,
191,2920,171,Email Open,2023-04-09T18:06:00,
192,4986,30,Unsubscribe,2020-02-13T16:29:00,
193,6392,,Email Open,2022-03-16T06:16:00,
194,323,107,Page Visit,2023-12-31T10:39:00,facebook
195,2680,,Email Click,2020-04-02T04:24:00,
196,79,179,Content Download,2020-10-05T15:06:00,
197,632,92,Webinar Registration,2022-10-13T20:16:00,
198,930,78,Content Download,2022-04-28T07:30:00,
199,4452,182,Email Click,2022-01-22T09:36:00,
200,3245,22,Content Download,2024-12-08T07:26:00,
201,6553,111,Email Open,2022-02-28T03:34:00,
202,2090,69,Page Visit,2023-03-31T23:26:00,
203,6370,13,Email Open,2024-05-26T10:17:00,
204,2066,186,Form Fill,2020-03-31T22:11:00,google
205,7195,32,Form Fill,2023-03-23T16:57:00,direct
206,5735,111,Form Fill,2022-03-01T15:58:00,twitter
207,3097,158,Email Click,2020-12-15T18:37:00,
208,4414,,Form Fill,2023-02-12T13:25:00,google
209,2780,196,Email Click,2022-02-16T03:14:00,
210,6054,165,Form Fill,2024-01-22T15:47:00,linkedin
211,1344,118,Email Open,2024-04-07T08:13:00,
212,487,,Form Fill,2021-03-08T13:37:00,referral
213,7735,149,Content Download,2021-04-04T02:40:00,
214,1626,150,Content Download,2020-04-07T11:44:00,
215,2693,138,Email Open,2024-10-10T10:04:00,
216,2916,,Email Open,2024-11-11T05:28:00,
217,2735,,Webinar Attended,2023-08-22T08:01:00,
218,6473,85,Email Open,2023-09-24T03:39:00,
219,2538,162,Email Open,2020-04-22T16:04:00,
220,3266,56,Form Fill,2024-10-02T17:25:00,
221,2178,96,Webinar Registration,2020-10-06T18:50:00,
222,6973,135,Email Click,2022-04-04T05:20:00,
223,436,104,Webinar Attended,2024-04-19T08:20:00,
224,2226,153,Email Open,2030-03-15T14:30:00,
225,3450,3,,2021-11-30T12:38:00,
226,6290,30,Content Download,2020-03-06T14:40:00,
227,1593,195,Ad Click,2021-12-01T07:05:00,twitter
228,2367,39,Email Open,2021-03-21T16:19:00,
229,4718,161,Email Click,2022-05-26T16:41:00,
230,4340,148,Page Visit,2024-04-04T04:14:00,linkedin
231,1406,,Email Open,2023-09-15T23:24:00,
232,3926,13,Email Click,2024-06-01T10:21:00,
233,5144,28,Form Fill,2022-11-21T18:21:00,twitter
234,2104,128,Email Open,2021-05-25T21:36:00,
235,1333,190,Form Fill,2020-02-24T00:14:00,referral
236,4466,105,Page Visit,2020-04-11T11:38:00,direct
237,1687,141,Page Visit,2023-12-22T00:01:00,referral
238,2406,187,Email Open,2024-05-12T13:56:00,
239,3676,200,Email Bounce,2021-04-10T03:33:00,
240,5620,79,Form Fill,2023-09-29T09:34:00,referral
241,803,12,Content Download,2023-03-17T01:45:00,
242,7241,100,Email Open,2024-07-01T16:15:00,
243,3004,164,Email Bounce,2021-09-19T22:21:00,
244,3264,115,Content Download,2020-01-24T13:29:00,
245,7061,29,,2020-05-09T23:23:00,
246,3115,105,,2020-04-14T02:30:00,
247,3736,152,Email Open,2021-01-22T18:05:00,
248,4601,162,Webinar Registration,2020-04-17T18:40:00,
249,590,54,Email Open,2020-06-14T02:14:00,
250,4448,105,Email Open,2020-04-13T06:16:00,
251,7503,52,Email Open,2021-09-22T11:50:00,
252,4848,74,Content Download,2024-05-16T13:02:00,
253,7355,52,Email Click,2021-09-27T03:56:00,
254,6476,87,Email Click,2021-09-30T20:09:00,
255,546,15,Email Click,2024-11-26T06:06:00,
256,421,,,2020-06-11T22:02:00,facebook
257,820,85,Form Fill,2023-10-01T04:14:00,twitter
258,420,24,Content Download,2021-04-18T19:26:00,
259,3401,30,Form Fill,2020-03-18T06:11:00,referral
260,1525,109,Webinar Registration,2020-02-18T14:02:00,
261,3047,65,Email Open,2021-12-07T22:16:00,
262,1830,145,Content Download,2021-01-04T04:17:00,
263,2840,191,Ad Click,2023-07-27T13:09:00,facebook
264,4168,191,Page Visit,2023-07-06T05:59:00,
265,5140,,Ad Click,2020-04-26T01:15:00,referral
266,1273,47,Webinar Registration,2023-11-17T23:46:00,
267,5289,159,Email Open,2023-11-10T13:07:00,
268,1243,109,Form Fill,2020-02-02T15:31:00,direct
269,2523,94,Email Bounce,2020-09-21T23:56:00,
270,7722,30,Webinar Registration,2020-02-16T04:36:00,
271,3728,133,Email Open,2021-05-27T23:35:00,
272,4464,88,Form Fill,2023-09-04T10:15:00,facebook
273,4661,167,Unsubscribe,2022-04-27T17:54:00,
274,3275,53,Email Bounce,2024-12-03T00:00:00,
275,3664,98,Email Bounce,2020-03-01T04:30:00,
276,6906,135,Ad Click,2022-03-17T14:23:00,facebook
277,2705,145,Email Bounce,2021-01-20T01:00:00,
278,3712,35,Email Open,2021-10-24T04:45:00,
279,1984,86,Ad Click,2023-10-15T19:25:00,linkedin
280,6671,48,Email Click,2030-03-15T14:30:00,
281,4883,19,Unsubscribe,2020-02-17T14:50:00,
282,3122,58,Email Click,2022-04-04T03:18:00,
283,7061,161,Ad Click,2022-05-03T00:45:00,google
284,3815,7,Form Fill,2024-04-16T19:14:00,linkedin
285,2619,156,Email Click,2021-07-22T04:42:00,
286,7707,199,Page Visit,2021-08-18T21:31:00,facebook
287,3448,65,Email Click,2021-11-28T23:14:00,
288,6032,189,Email Open,2024-09-12T01:05:00,
289,7119,97,Webinar Attended,2020-09-03T23:30:00,
290,1887,119,Form Fill,2024-08-24T07:02:00,linkedin
291,4468,149,Form Fill,2021-04-09T23:00:00,linkedin
292,2093,70,Email Open,2023-01-08T11:09:00,
293,3248,146,Form Fill,2020-12-02T23:43:00,referral
294,179,84,Page Visit,2020-03-04T07:07:00,facebook
295,7432,189,Email Open,2024-08-09T07:21:00,
296,5621,63,Unsubscribe,2021-10-13T04:25:00,
297,753,176,Email Open,2023-09-08T01:28:00,
298,1107,71,Page Visit,2020-04-02T13:03:00,linkedin
299,6574,130,Content Download,2024-01-16T02:45:00,
300,3144,88,Email Open,2023-09-06T21:57:00,
301,7903,118,Form Fill,2030-03-15T14:30:00,
302,2751,168,Email Open,2023-04-13T20:30:00,
303,1603,41,Page Visit,2022-09-03T02:24:00,
304,1086,84,Page Visit,2020-03-05T18:37:00,direct
305,3813,90,Ad Click,2024-06-24T17:23:00,direct
306,4929,29,Content Download,2020-06-06T10:55:00,
307,4695,190,Form Fill,2020-02-29T22:14:00,facebook
308,6539,36,Email Open,2020-02-02T16:05:00,
309,2033,25,Email Open,2020-08-25T11:35:00,
310,4019,91,Content Download,2030-03-15T14:30:00,
311,5856,47,Email Open,2023-11-09T20:09:00,
312,974,193,Email Open,2022-03-11T11:16:00,
313,4118,75,Unsubscribe,2023-03-13T06:37:00,
314,2957,,Page Visit,2024-05-10T00:46:00,linkedin
315,243,100,Content Download,2024-07-01T22:53:00,
316,7772,34,Content Download,2020-03-03T04:37:00,
317,3621,187,Page Visit,2024-04-11T02:53:00,twitter
318,5549,190,Email Open,2020-03-27T09:27:00,
319,4893,,Ad Click,2020-12-18T06:02:00,google
320,6930,183,Email Click,2020-08-08T23:26:00,
321,7104,185,Webinar Registration,2022-07-27T05:17:00,
322,772,167,Form Fill,2022-04-22T02:32:00,referral
323,35,42,Content Download,2020-04-19T19:47:00,
324,5875,48,Form Fill,2023-09-02T16:45:00,direct
325,1865,84,Email Open,2020-03-03T14:03:00,
326,6917,80,Form Fill,2021-06-18T17:13:00,facebook
327,551,155,Email Open,2022-06-09T08:10:00,
328,5315,29,Email Open,2020-05-24T03:45:00,
329,3216,18,Content Download,2020-07-28T20:34:00,
330,6574,114,Form Fill,2024-07-25T15:18:00,direct
331,4070,51,Email Open,2021-06-01T16:28:00,
332,2848,89,Webinar Attended,2023-08-10T07:54:00,
333,7080,117,Form Fill,2020-08-11T01:31:00,google
334,7767,10,Page Visit,2021-09-07T01:06:00,google
335,430,139,Email Open,2024-10-10T04:34:00,
336,797,178,Webinar Registration,2020-04-01T01:31:00,
337,1005,27,Email Bounce,2022-04-16T08:44:00,
338,1943,164,Email Open,2021-09-24T04:27:00,
339,786,17,Email Open,2023-12-09T02:28:00,
340,1704,166,Content Download,2023-02-18T16:10:00,
341,7946,70,Page Visit,2022-12-01T04:52:00,google
342,5991,175,Email Click,2022-06-12T04:15:00,
343,2075,138,Page Visit,2024-10-17T07:52:00,twitter
344,98,124,Email Open,2021-06-24T03:39:00,
345,4585,172,Content Download,2024-02-07T19:03:00,
346,342,138,Ad Click,2024-10-07T12:05:00,twitter
347,943,1,Content Download,2024-10-01T13:28:00,
348,5297,178,Email Bounce,2020-05-15T15:43:00,
349,2057,50,Webinar Registration,2020-05-02T17:28:00,
350,6570,168,Page Visit,2023-04-10T09:57:00,direct
351,7660,171,Email Bounce,2030-03-15T14:30:00,
352,1949,91,Form Fill,2023-06-22T06:06:00,direct
353,6789,190,Webinar Registration,2020-02-28T02:06:00,
354,2379,117,Form Fill,2020-06-22T07:25:00,twitter
355,3547,52,Email Open,2021-09-27T12:39:00,
356,4241,35,Email Open,2021-12-18T04:01:00,
357,3608,112,Email Open,2023-06-23T20:38:00,
358,288,32,Email Open,2023-04-07T05:46:00,
359,1705,42,Email Click,2020-03-31T14:29:00,
360,3538,199,Unsubscribe,2021-06-27T18:26:00,
361,683,21,Content Download,2024-12-17T00:00:00,
362,849,22,Email Open,2024-09-20T02:29:00,
363,3180,134,Email Click,2023-09-30T18:46:00,
364,3198,47,Content Download,2023-10-03T22:24:00,
365,618,196,Email Click,2022-04-09T11:50:00,
366,2146,174,,2021-03-01T08:03:00,
367,7402,127,Page Visit,2020-01-23T10:10:00,twitter
368,6210,108,Webinar Registration,2024-11-30T22:58:00,
369,5033,110,Form Fill,2020-07-15T05:01:00,twitter
370,780,162,,2020-04-14T07:03:00,direct
371,134,,Ad Click,2020-07-16T00:48:00,linkedin
372,596,140,Email Open,2021-01-11T12:11:00,
373,5172,135,,2022-04-20T14:13:00,direct
374,4507,108,Webinar Registration,2024-12-12T00:00:00,
375,6532,156,Ad Click,2021-07-07T05:04:00,
376,3986,123,Form Fill,2022-02-17T09:19:00,referral
377,2036,98,Email Open,2020-02-29T15:29:00,
378,3261,83,Content Download,2022-12-25T07:56:00,
379,4323,83,Ad Click,2023-02-21T22:49:00,referral
380,1621,52,Ad Click,2021-09-29T12:41:00,twitter
381,3704,78,Email Open,2022-05-04T23:07:00,
382,3994,84,,2020-03-10T09:36:00,twitter
383,1196,70,Email Open,2022-12-27T22:57:00,
384,5670,118,Content Download,2024-03-05T02:13:00,
385,6172,18,Email Open,2020-04-24T01:56:00,
386,450,47,Form Fill,2023-09-27T12:56:00,referral
387,4999,42,Email Open,2020-03-19T07:27:00,
388,3741,137,Email Click,2023-08-18T21:46:00,
389,4686,44,Form Fill,2022-03-04T23:42:00,direct
390,2384,192,Email Open,2030-03-15T14:30:00,
391,3647,107,Unsubscribe,2023-12-27T22:09:00,
392,4140,106,Webinar Attended,2021-05-15T09:20:00,
393,1459,167,Webinar Attended,2030-03-15T14:30:00,
394,7127,188,Webinar Registration,2021-11-18T01:52:00,
395,1623,15,Content Download,2024-10-10T15:18:00,
396,2700,92,Page Visit,2022-09-01T22:53:00,twitter
397,2068,124,Email Bounce,2021-07-28T06:37:00,
398,389,54,Page Visit,2020-07-23T23:30:00,referral
399,757,123,Webinar Registration,2022-02-17T22:09:00,
400,4342,33,Email Open,2020-08-31T16:17:00,
401,3431,134,Email Open,2023-10-10T18:25:00,
402,7710,113,Form Fill,2022-12-06T14:21:00,
403,6207,25,Content Download,2020-07-01T00:02:00,
404,264,130,Webinar Attended,2023-12-28T10:06:00,
405,3485,14,Content Download,2023-05-22T14:56:00,
406,2184,169,Email Click,2021-10-05T03:51:00,
407,3552,52,Email Bounce,2021-09-19T04:41:00,
408,197,17,Page Visit,2023-12-14T07:45:00,facebook
409,1351,25,Content Download,2020-08-06T07:51:00,
410,6263,79,Content Download,2023-10-02T14:40:00,
411,1775,198,Webinar Attended,2020-05-01T20:58:00,
412,2751,164,Content Download,2021-09-20T21:19:00,
413,297,48,Ad Click,2023-09-23T06:00:00,twitter
414,3470,94,Ad Click,2020-10-09T06:25:00,linkedin
415,641,43,Ad Click,2021-05-08T14:53:00,
416,1558,56,Email Open,2024-09-23T17:55:00,
417,6155,,Page Visit,2021-05-16T06:47:00,google
418,358,119,Email Click,2024-08-10T03:50:00,
419,4669,47,Page Visit,2023-10-08T22:00:00,linkedin
420,4030,114,Ad Click,2024-08-11T14:25:00,google
421,6485,44,Email Open,2021-12-13T17:42:00,
422,2176,165,Ad Click,2024-01-31T19:59:00,google
423,836,89,Ad Click,2023-09-08T17:30:00,google
424,6913,30,Page Visit,2020-02-05T22:49:00,linkedin
425,4599,192,Form Fill,2023-06-15T13:21:00,facebook
426,2716,155,Email Click,2022-05-22T07:27:00,
427,550,65,Content Download,2021-11-30T18:44:00,
428,7929,27,Form Fill,2022-04-13T23:17:00,direct
429,2086,93,Ad Click,2024-06-06T00:29:00,google
430,7900,143,Email Open,2021-04-02T02:48:00,
431,1945,7,Form Fill,2024-05-05T00:19:00,referral
432,6883,109,Content Download,2020-03-05T13:20:00,
433,6755,51,Page Visit,2021-06-02T08:54:00,referral
434,3965,22,Form Fill,2024-11-11T18:16:00,
435,2133,20,Email Open,2023-11-13T01:07:00,
436,3051,109,Ad Click,2020-03-02T16:44:00,linkedin
437,4397,17,Form Fill,2023-12-04T03:46:00,google
438,7321,8,Email Click,2021-01-05T13:24:00,
439,6963,105,Email Open,2020-04-11T13:14:00,
440,7760,,Form Fill,2024-07-11T05:38:00,google
441,3775,144,Form Fill,2020-06-04T21:55:00,twitter
442,1143,98,Page Visit,2020-04-04T14:14:00,
443,2223,124,Email Bounce,2021-08-07T03:09:00,
444,3303,102,Page Visit,2023-02-23T01:46:00,referral
445,915,90,Webinar Registration,2024-06-22T23:49:00,
446,463,99,Webinar Registration,2022-04-19T18:49:00,
447,5521,57,,2020-10-17T23:03:00,google
448,2261,21,,2024-11-23T01:04:00,
449,5369,9,Webinar Registration,2021-05-27T23:12:00,
450,4733,34,Page Visit,2020-03-27T21:11:00,facebook
451,108,162,Email Click,2020-04-14T19:53:00,
452,5214,107,Page Visit,2024-03-07T14:41:00,referral
453,4545,91,Form Fill,2023-05-13T23:21:00,google
454,2865,11,Page Visit,2024-06-20T23:53:00,direct
455,4050,26,Page Visit,2024-12-06T00:26:00,twitter
456,1087,152,Form Fill,2021-01-20T10:24:00,linkedin
457,3363,105,Email Open,2020-04-14T11:42:00,
458,5253,23,Content Download,2024-02-03T09:28:00,
459,7523,123,Email Open,2022-01-25T00:26:00,
460,4205,119,Webinar Registration,2024-08-12T16:50:00,
461,4878,141,Webinar Attended,2023-12-06T05:09:00,
462,6187,156,Page Visit,2021-08-14T12:04:00,referral
463,4113,171,Ad Click,2023-04-11T11:38:00,twitter
464,871,,Page Visit,2024-09-09T16:05:00,direct
465,7513,152,Form Fill,2021-01-17T14:24:00,twitter
466,4157,27,Form Fill,2022-04-04T01:52:00,referral
467,6357,146,Form Fill,2021-01-17T02:24:00,
468,5154,119,Email Open,2024-08-17T12:41:00,
469,2303,174,Content Download,2021-02-28T22:08:00,
470,6451,60,Ad Click,2020-02-22T19:38:00,referral
471,1581,192,,2023-06-30T22:15:00,facebook
472,2097,75,Page Visit,2023-01-29T17:28:00,linkedin
473,7523,84,Webinar Attended,2020-03-09T06:56:00,
474,2922,200,Form Fill,2021-03-28T02:12:00,direct
475,6216,93,Email Open,2024-05-25T11:35:00,
476,6058,156,Page Visit,2021-07-29T21:26:00,referral
477,7239,,Email Open,2024-04-30T07:09:00,
478,4962,197,Unsubscribe,2024-07-17T17:45:00,
479,2235,160,Email Open,2023-09-04T02:16:00,
480,6064,12,Webinar Attended,2023-03-11T15:02:00,
481,4340,18,Email Click,2020-05-11T03:09:00,
482,5966,41,Email Open,2022-08-14T00:48:00,
483,1376,27,Email Open,2022-03-21T13:41:00,
484,4371,182,Email Click,2030-03-15T14:30:00,
485,5320,88,Webinar Registration,2023-09-09T04:33:00,
486,6400,14,Email Open,2023-07-24T20:47:00,
487,168,11,Email Bounce,2024-06-13T16:44:00,
488,4729,144,Webinar Attended,2020-06-14T13:17:00,
489,3861,115,Webinar Attended,2020-01-25T03:32:00,
490,3414,138,Ad Click,2024-10-25T17:13:00,direct
491,3128,158,Webinar Attended,2020-12-21T16:26:00,
492,3292,136,Ad Click,2024-10-01T02:00:00,facebook
493,145,79,Content Download,2023-09-27T13:05:00,
494,7443,198,Webinar Registration,2020-03-17T06:52:00,
495,1598,163,Content Download,2030-03-15T14:30:00,
496,2555,65,,2021-11-24T23:02:00,
497,1084,88,Ad Click,2023-09-08T16:36:00,facebook
498,5719,126,Webinar Registration,2021-04-29T15:41:00,
499,3179,12,Content Download,2023-03-10T04:37:00,
500,7397,128,Form Fill,2021-06-08T19:01:00,
501,6756,20,Webinar Registration,2023-11-15T04:24:00,
502,6589,180,Unsubscribe,2024-04-02T03:42:00,
503,7126,,Form Fill,2020-04-28T13:10:00,linkedin
504,7608,73,Email Open,2021-07-29T06:19:00,
505,6399,171,Email Click,2023-05-18T15:37:00,
506,5388,181,Ad Click,2020-06-03T14:43:00,
507,1262,11,Content Download,2024-05-14T21:14:00,
508,5699,191,Content Download,2023-07-10T04:31:00,
509,4907,156,Email Open,2021-08-03T09:51:00,
